dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q91W43_57_1010_6i34.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-8.7	15	-8.7	15	-4.8	15	-4.8	15	-6.05	-6.05	-3.39	-3.39	1	26
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.98	46	-10.79	61	-4.71	46	-6.71	61	-9.9	-9.71	-4.04	-4.85	3	25
Q80WP8-1_59_550_6enz.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.45	91	-10.19	75	-4.48	91	-5.14	75	-9.1	-8.54	-4.42	-4.48	3	16
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-11.19	13	-11.06	68	-4.43	13	-6.12	68	-9.99	-10.03	-3.75	-5.43	3	28
O88533_1_467_1js6.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.88	76	-10.27	83	-5.47	76	-4.67	83	-9.94	-9.04	-3.76	-4.22	2	12
Q8VCN5_9_398_5tsu.1.C_swissmodel_HTML_PLP_2.dlg	HTL	-12.91	59	-12.91	59	-6.18	59	-6.18	59	-8.62	-8.62	-4.35	-4.35	1	55
P50431_1_478_1eji_pdb_HTML_PLP_2.dlg	HTL	-12.86	29	-12.86	29	-5.51	29	-5.51	29	-11.83	-11.83	-5.6	-5.6	1	66
Q71RI9-1_42_451_5vep_pdb_HTML_PLP_2.dlg	HTL	-13.48	28	-13.48	28	-7.92	28	-7.92	28	-11.62	-11.62	-7.29	-7.29	1	39
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.72	71	-10.18	22	-3.81	71	-4.75	22	-10.08	-9.4	-3.82	-4.53	5	16
Q71RI9-1_42_451_5ver_pdb_HTML_PLP_1.dlg	HTL	-15.37	64	-15.37	64	-7.54	64	-7.54	64	-13.06	-13.06	-6.54	-6.54	1	32
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-7.49	58	-7.49	58	-5.08	58	-5.08	58	-6.31	-6.31	-3.92	-3.92	1	25
Q6P6M7_23_466_3bca_pdb_HTML_PLP_3.dlg	HTL	-13.05	58	-12.03	54	-4.56	58	-2.73	54	-11.84	-11.1	-4.44	-3.66	7	20
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-8.49	96	-8.49	96	-3.16	96	-3.16	96	-7.5	-7.5	-2.7	-2.7	1	16
Q99K85_17_370_3e77.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-12.31	28	-10.15	85	-4.3	28	-6.11	85	-10.98	-9.46	-3.23	-6.0	8	8
