dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
O15382_28_392_1ekp_pdb_GLU_PLP_2.dlg	GLU	-12.83	61	-12.83	61	-6.83	61	-6.83	61	-11.52	-11.52	-5.98	-5.98	1	65
P21549_1_392_4cbs_pdb_GLU_PLP_1.dlg	GLU	-13.29	12	-13.29	12	-8.23	12	-8.23	12	-9.2	-9.2	-6.6	-6.6	1	64
P04181_36_439_2byj.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.73	99	-9.05	51	-6.14	99	-6.23	51	-9.47	-8.27	-5.58	-5.84	5	30
P21549_1_392_4i8a_pdb_GLU_PLP_2.dlg	GLU	-7.67	86	-7.67	86	-3.69	86	-3.69	86	-5.57	-5.57	-3.36	-3.36	1	42
Q9Y600_1_493_2jis_pdb_GLU_PLP_1.dlg	GLU	-11.08	97	-10.01	66	-6.2	97	-4.59	66	-10.7	-9.23	-6.38	-4.53	4	28
Q99259_93_593_2okj.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-11.01	39	-9.52	91	-5.77	39	-6.08	91	-9.35	-8.43	-5.33	-5.64	3	55
Q9HD40_1_501_4zdo_pdb_GLU_PLP_4.dlg	GLU	-12.7	94	-11.37	35	-7.44	94	-5.13	35	-11.4	-10.31	-7.94	-5.07	5	25
P34897_22_504_4pvf_pdb_GLU_PLP_3.dlg	GLU	-11.61	80	-11.61	80	-7.23	80	-7.23	80	-8.94	-8.94	-6.09	-6.09	1	31
Q16773_1_422_4wlh_pdb_GLU_PLP_2.dlg	GLU	-11.39	64	-6.92	36	-5.65	64	-5.53	36	-9.52	-6.44	-4.8	-5.58	4	38
Q05329_88_584_2okk_pdb_GLU_PLP_2.dlg	GLU	-12.43	53	-12.43	53	-5.2	53	-5.2	53	-11.56	-11.56	-4.85	-4.85	1	38
Q99259_93_594_2okj_pdb_GLU_PLP_1.dlg	GLU	-12.65	12	-11.44	31	-6.7	12	-7.05	31	-12.38	-10.38	-6.24	-7.08	4	65
P20132_1_328_4h27_pdb_GLU_PLP_1.dlg	GLU	-9.96	59	-9.71	46	-5.68	59	-6.44	46	-9.75	-8.89	-5.9	-5.56	7	17
Q16719_6_460_2hzp.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-7.72	15	-5.53	56	-6.61	15	-3.42	56	-6.76	-4.58	-5.77	-3.12	2	18
P34896_8_483_1eji.1.D_swissmodel_GLU_PLP_3.dlg	GLU	-8.84	91	-8.84	91	-5.31	91	-5.31	91	-6.65	-6.65	-4.86	-4.86	1	39
P06737_2_847_2ati_pdb_GLU_PLP_1.dlg	GLU	-12.51	77	-12.25	58	-7.07	77	-6.55	58	-11.1	-11.19	-6.62	-6.08	2	63
P11216_1_843_5iko_pdb_GLU_PLP_3.dlg	GLU	-12.07	34	-12.07	34	-7.02	34	-7.02	34	-10.8	-10.8	-6.37	-6.37	1	67
Q96EN8_35_495_5j8q.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-8.24	11	-8.22	93	-4.8	11	-4.53	93	-6.7	-7.11	-3.85	-3.76	3	40
P20711_1_480_3rbl_pdb_GLU_PLP_1.dlg	GLU	-9.93	14	-9.43	45	-5.33	14	-6.68	45	-9.34	-8.45	-5.02	-6.08	7	17
