dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
P32929_1_405_3elp_pdb_ORN_PLP_1.dlg	ORN	-12.55	55	-12.34	59	-2.61	55	-3.25	59	-11.38	-11.63	-3.05	-2.96	4	17
P04181_38_439_1gbn_pdb_ORN_PLP_2.dlg	ORN	-13.3	61	-13.3	61	-4.38	61	-4.38	61	-11.92	-11.92	-4.24	-4.24	1	35
P06737_2_847_2ati_pdb_ORN_PLP_1.dlg	ORN	-14.64	85	-13.6	72	-4.83	85	-5.01	72	-13.4	-12.49	-4.18	-4.9	4	34
P54687_21_386_2abj_pdb_ORN_PLP_2.dlg	ORN	-13.33	97	-12.32	29	-2.76	97	-3.42	29	-12.38	-11.5	-2.74	-3.09	3	26
Q05329_88_584_2okk_pdb_ORN_PLP_1.dlg	ORN	-13.05	6	-12.56	54	-3.4	6	-2.98	54	-11.33	-11.09	-3.16	-3.18	5	26
P06737_2_847_2ati_pdb_ORN_PLP_2.dlg	ORN	-15.47	78	-14.04	72	-3.92	78	-4.7	72	-13.87	-12.8	-3.45	-3.53	2	32
Q8N5Z0_1_425_3ue8_pdb_ORN_PLP_2.dlg	ORN	-13.24	59	-13.24	59	-3.52	59	-3.52	59	-11.95	-11.95	-4.47	-4.47	1	22
P04181_1_439_2oat_pdb_ORN_PLP_4.dlg	ORN	-13.84	8	-13.77	57	-4.51	8	-5.22	57	-12.51	-12.58	-3.93	-4.76	2	50
P04181_1_439_2byl_pdb_ORN_PLP_1.dlg	ORN	-11.66	25	-11.66	25	-2.62	25	-2.62	25	-10.58	-10.58	-1.73	-1.73	1	21
O15382_28_392_1ekv_pdb_ORN_PLP_1.dlg	ORN	-14.59	50	-14.59	50	-2.99	50	-2.99	50	-13.57	-13.57	-2.93	-2.93	1	22
Q8TBG4_7_438_4ysn.1.A_swissmodel_ORN_PLP_4.dlg	ORN	-9.04	81	-9.04	81	-5.49	81	-5.49	81	-5.71	-5.71	-3.83	-3.83	1	34
O15382_28_392_5bwu_pdb_ORN_PLP_1.dlg	ORN	-14.23	92	-13.21	96	-3.04	92	-4.21	96	-13.37	-12.22	-3.08	-3.66	8	16
P32929_1_402_2nmp_pdb_ORN_PLP_1.dlg	ORN	-12.8	46	-12.8	46	-5.83	46	-5.83	46	-10.76	-10.76	-4.26	-4.26	1	73
Q6ZQY3_35_521_2jis.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.35	41	-13.35	41	-2.81	41	-2.81	41	-12.11	-12.11	-3.05	-3.05	1	12
P04181_38_439_1gbn_pdb_ORN_PLP_4.dlg	ORN	-13.03	33	-13.03	33	-4.66	33	-4.66	33	-11.69	-11.69	-4.02	-4.02	1	50
Q16773_1_422_1w7m_pdb_ORN_PLP_1.dlg	ORN	-13.21	33	-13.21	33	-5.09	33	-5.09	33	-11.72	-11.72	-4.81	-4.81	1	53
Q16773_3_421_4ge9.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-10.01	66	-9.83	44	-5.41	66	-4.88	44	-8.14	-8.26	-4.7	-4.19	3	30
P32929_1_402_2nmp_pdb_ORN_PLP_4.dlg	ORN	-12.48	81	-12.48	81	-4.67	81	-4.67	81	-10.12	-10.12	-4.4	-4.4	1	37
Q9GZT4_3_329_3l6r.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-15.14	7	-15.14	7	-4.86	7	-4.86	7	-13.48	-13.48	-4.65	-4.65	1	35
Q9Y697_67_457_5kz5_pdb_ORN_PLP_1.dlg
Q6ZQY3_35_520_5hsj.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-12.04	49	-12.04	49	-2.15	49	-2.15	49	-11.32	-11.32	-2.31	-2.31	1	23
Q96I15_8_445_3gzd_pdb_ORN_PLP_2.dlg	ORN	-12.16	38	-12.16	38	-2.61	38	-2.61	38	-10.98	-10.98	-2.29	-2.29	1	38
O15270_145_538_1fc4.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-9.34	78	-9.34	78	-3.21	78	-3.21	78	-6.9	-6.9	-2.52	-2.52	1	43
P06737_1_847_2zb2_pdb_ORN_PLP_1.dlg	ORN	-13.41	97	-12.87	11	-3.35	97	-2.86	11	-11.93	-11.68	-3.14	-3.41	3	34
Q9Y617_17_370_3e77.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-13.65	60	-13.65	60	-2.61	60	-2.61	60	-12.3	-12.3	-2.5	-2.5	1	34
O75600_41_418_3tqx.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.44	27	-11.45	35	-3.13	27	-3.88	35	-11.27	-10.89	-2.4	-3.35	8	23
P04181_1_439_2oat_pdb_ORN_PLP_1.dlg	ORN	-14.34	80	-14.34	80	-4.2	80	-4.2	80	-12.8	-12.8	-4.29	-4.29	1	61
O15382_28_392_2hgx_pdb_ORN_PLP_1.dlg	ORN	-15.48	76	-12.96	60	-4.0	76	-3.96	60	-13.36	-11.77	-2.73	-3.69	8	18
Q8IUZ5_10_438_5g4i.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-14.0	71	-14.0	71	-2.96	71	-2.96	71	-12.93	-12.93	-2.44	-2.44	1	26
Q16773_1_422_1w7l_pdb_ORN_PLP_1.dlg	ORN	-13.16	42	-13.16	42	-3.81	42	-3.81	42	-11.28	-11.28	-3.7	-3.7	1	23
O15270_112_537_4bmk.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.82	95	-13.82	95	-5.72	95	-5.72	95	-11.9	-11.9	-5.08	-5.08	1	35
Q9HD40_1_501_4zdp_pdb_ORN_PLP_3.dlg	ORN	-14.18	20	-13.68	21	-3.14	20	-2.14	21	-12.72	-12.56	-2.37	-2.26	2	34
P11926_1_461_2oo0_pdb_ORN_PLP_1.dlg	ORN	-11.29	41	-11.29	41	-4.58	41	-4.58	41	-9.85	-9.85	-3.82	-3.82	1	37
Q9HD40_1_501_4zdp_pdb_ORN_PLP_1.dlg	ORN	-13.87	78	-13.27	11	-3.03	78	-2.47	11	-12.79	-12.41	-2.52	-2.33	3	30
P06737_2_847_3dd1_pdb_ORN_PLP_1.dlg	ORN	-14.87	89	-14.87	89	-3.62	89	-3.62	89	-13.65	-13.65	-3.41	-3.41	1	24
