dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q6P6M7_23_466_3bca_pdb_HIS_PLP_3.dlg	HIS	-14.22	6	-14.22	6	-5.94	6	-5.94	6	-13.25	-13.25	-5.58	-5.58	1	61
Q9WUB3_11_836_2pyd.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-11.25	10	-10.44	74	-4.7	10	-5.68	74	-10.76	-9.28	-5.02	-5.12	3	40
Q71RI9-1_42_451_3e2z_pdb_HIS_PLP_1.dlg	HIS	-13.42	28	-13.42	28	-6.89	28	-6.89	28	-12.69	-12.69	-6.84	-6.84	1	58
Q91W43_57_1010_6i34.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-8.25	48	-6.52	96	-2.12	48	-2.94	96	-5.51	-5.44	-2.85	-3.08	6	24
Q8BTY1_4_421_1w7m.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-15.0	21	-15.0	21	-5.98	21	-5.98	21	-14.2	-14.2	-5.82	-5.82	1	89
Q91WT9-1_39_559_4l28.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-7.61	99	-7.61	99	-3.1	99	-3.1	99	-5.49	-5.49	-2.84	-2.84	1	27
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-7.48	41	-7.48	41	-4.4	41	-4.4	41	-6.56	-6.56	-3.79	-3.79	1	20
O35423-1_27_412_3kgw_pdb_HIS_PLP_2.dlg	HIS	-11.28	87	-9.56	59	-4.78	87	-5.34	59	-10.74	-8.63	-4.99	-5.45	6	26
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-13.64	97	-13.55	28	-6.08	97	-5.65	28	-12.67	-12.5	-5.82	-5.36	2	30
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-13.74	71	-13.71	23	-6.26	71	-5.59	23	-12.31	-12.47	-5.36	-5.27	3	24
