GLU	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_GLU_PLP_2.dlg	-9.12	93	-9.12	93	-5.86	93	-5.86	93	-6.27	100	-5.72	-6.42	70	1	15
Q8QZR1_52_442_4ge9.1.A_swissmodel_GLU_PLP_1.dlg	-9.37	89	-9.37	89	-6.01	89	-6.01	89	-6.12	86	-5.37	-6.74	74	1	35
O88533_1_467_1js6.1.A_swissmodel_GLU_PLP_1.dlg	-10.61	22	-9.43	40	-5.03	22	-4.35	40	-4.4	35	-3.93	-6.42	44	2	33
P61922-1_39_499_4zsy.1.A_swissmodel_GLU_PLP_2.dlg	-11.78	96	-11.78	96	-6.58	96	-6.58	96	-7.19	23	-6.42	-7.19	23	1	61
Q8VBT2_5_317_2o2j.1.B_swissmodel_GLU_PLP_1.dlg	-8.53	39	-8.39	10	-4.52	39	-5.38	10	-5.39	11	-4.92	-6.18	62	2	19
O35423-2_1_390_3kgw.1.A_swissmodel_GLU_PLP_2.dlg	-11.7	17	-10.51	98	-6.11	17	-5.38	98	-5.38	98	-4.9	-7.6	77	2	25
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_3.dlg	-9.7	66	-9.7	66	-4.56	66	-4.56	66	-5.8	80	-4.85	-6.66	65	1	50
Q8QZR1_64_442_3pdx_pdb_GLU_PLP_2.dlg	-10.98	55	-9.76	53	-6.56	55	-6.45	53	-6.45	53	-5.3	-6.56	55	3	53
Q71RI9-1_42_451_5veq_pdb_GLU_PLP_4.dlg	-15.49	89	-15.49	89	-7.14	89	-7.14	89	-7.14	89	-6.27	-8.02	78	1	63
O35484_8_435_3btn_pdb_GLU_PLP_2.dlg	-5.05	2	-4.05	53	-3.97	2	-2.66	53	-3.48	33	-2.41	-4.26	49	4	27
A2AIG8-1_64_482_1m4n.1.A_swissmodel_GLU_PLP_2.dlg	-10.23	12	-8.6	99	-6.96	12	-6.87	99	-6.99	91	-5.95	-7.46	26	4	35
P61922-2_39_444_4y0h.1.A_swissmodel_GLU_PLP_1.dlg	-11.47	77	-11.47	77	-5.52	77	-5.52	77	-5.89	47	-5.24	-6.83	66	1	67
Q6P6M7_23_466_3bca_pdb_GLU_PLP_1.dlg	-15.68	82	-15.22	5	-10.02	82	-7.9	5	-8.27	49	-7.63	-10.06	68	2	56
O35423-1_23_412_3kgw.1.A_swissmodel_GLU_PLP_1.dlg	-10.52	95	-10.06	13	-5.06	95	-5.68	13	-5.79	67	-5.14	-7.01	9	3	30
Q91WT9-1_39_559_4l28.1.A_swissmodel_GLU_PLP_1.dlg	-8.24	97	-6.0	72	-5.42	97	-5.61	72	-6.23	38	-5.47	-6.38	54	5	30
Q9WUB3_11_836_2pyd.1.A_swissmodel_GLU_PLP_2.dlg	-12.14	53	-12.14	53	-6.15	53	-6.15	53	-6.58	80	-5.72	-7.84	30	1	33
