dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q9DBE0_7_493_2jis.1.A_swissmodel_THR_PLP_1.dlg	THR	-11.37	48	-11.0	74	-3.89	48	-5.01	74	-5.58	76	-4.56	-5.58	76	2	19
Q6XPS7_39_398_1lw4.1.D_swissmodel_THR_PLP_3.dlg	THR	-8.26	80	-7.33	8	-4.79	80	-3.13	8	-4.44	95	-3.22	-4.79	80	2	41
P50431_9_478_1rvu.1.A_swissmodel_THR_PLP_2.dlg	THR	-11.01	36	-11.01	36	-4.9	36	-4.9	36	-5.59	77	-4.63	-5.59	77	1	31
O35423-1_27_412_3kgx_pdb_THR_PLP_2.dlg	THR	-11.62	18	-11.5	65	-4.54	18	-5.18	65	-5.89	20	-5.09	-6.12	40	2	34
Q71RI9-1_42_451_3e2y_pdb_THR_PLP_2.dlg	THR	-16.33	9	-16.33	9	-5.87	9	-5.87	9	-6.16	20	-5.3	-6.91	19	1	78
Q8VCN5_9_398_5tsu.1.C_swissmodel_THR_PLP_3.dlg	THR	-12.14	100	-11.39	27	-5.93	100	-4.07	27	-5.44	17	-3.99	-6.54	86	2	25
Q71RI9-1_42_451_5vep_pdb_THR_PLP_4.dlg	THR	-13.17	88	-13.17	88	-5.41	88	-5.41	88	-5.9	72	-5.2	-6.12	64	1	38
Q3UEG6_52_507_4atp.1.A_swissmodel_THR_PLP_2.dlg	THR	-7.29	3	-6.61	90	-3.05	3	-3.05	90	-3.53	45	-2.86	-5.3	54	2	45
Q91W43_57_1010_6i34.1.A_swissmodel_THR_PLP_1.dlg	THR	-7.82	54	-7.82	54	-2.71	54	-2.71	54	-3.02	39	-2.48	-5.12	43	1	16
Q91WT9-2_40_543_4pcu.1.B_swissmodel_THR_PLP_2.dlg	THR	-10.03	9	-10.03	9	-6.53	9	-6.53	9	-6.64	91	-5.02	-6.64	91	1	31
Q99K85_17_370_3e77.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.17	55	-10.65	18	-6.13	55	-4.29	18	-4.94	27	-4.09	-6.6	31	9	10
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_THR_PLP_2.dlg	THR	-6.67	37	-6.67	37	-2.17	37	-2.17	37	-3.22	79	-2.23	-4.46	91	1	38
Q3UEG6_63_509_6fyq.1.A_swissmodel_THR_PLP_1.dlg	THR	-9.27	11	-8.25	23	-3.36	11	-4.38	23	-4.83	38	-4.29	-5.16	42	2	38
Q8R238_12_327_2rkb.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.01	38	-12.01	38	-4.46	38	-4.46	38	-5.44	49	-4.58	-6.01	61	1	16
Q91WT9-1_40_557_4pcu.1.B_swissmodel_THR_PLP_2.dlg	THR	-10.11	34	-10.11	34	-2.89	34	-2.89	34	-3.15	10	-2.82	-5.12	3	1	75
Q14CH1_48_490_3a9y.1.B_swissmodel_THR_PLP_2.dlg	THR	-8.01	94	-8.01	94	-3.27	94	-3.27	94	-3.77	12	-2.71	-3.77	12	1	41
Q71RI9-1_42_451_2zjg_pdb_THR_PLP_2.dlg	THR	-13.33	26	-11.46	57	-5.55	26	-5.07	57	-6.09	44	-5.38	-6.09	44	4	34
O88533_1_467_1js6.1.A_swissmodel_THR_PLP_1.dlg	THR	-11.06	36	-11.06	36	-4.15	36	-4.15	36	-4.96	23	-3.91	-5.03	52	1	45
O35484_8_435_3btn.1.A_swissmodel_THR_PLP_1.dlg	THR	-7.53	77	-7.37	38	-3.3	77	-2.57	38	-3.69	85	-2.7	-3.96	53	2	49
Q80WP8-1_59_550_6enz.1.A_swissmodel_THR_PLP_1.dlg	THR	-10.78	76	-10.78	76	-3.82	76	-3.82	76	-4.75	49	-3.87	-5.45	26	1	32
Q3UX83-2_105_524_1m4n.1.A_swissmodel_THR_PLP_2.dlg	THR	-11.45	50	-11.38	64	-5.65	50	-4.84	64	-5.32	37	-4.86	-5.65	50	2	24
Q6P6M7_23_467_3bcb.1.A_swissmodel_THR_PLP_3.dlg	THR	-13.51	46	-12.79	35	-5.65	46	-5.76	35	-5.95	70	-4.37	-7.22	65	4	18
Q80WP8-1_59_550_6enz.1.A_swissmodel_THR_PLP_2.dlg	THR	-11.73	60	-11.73	60	-4.57	60	-4.57	60	-4.62	77	-4.05	-6.22	31	1	41
Q71RI9-1_42_451_3e2f_pdb_THR_PLP_2.dlg	THR	-13.82	43	-13.82	43	-5.25	43	-5.25	43	-6.08	51	-5.26	-6.08	51	1	72
O35484_8_435_3btn_pdb_THR_PLP_1.dlg	THR	-8.3	95	-8.05	41	-3.2	95	-3.26	41	-3.65	66	-3.12	-4.54	51	2	26
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_THR_PLP_2.dlg	THR	-14.78	81	-13.39	19	-5.94	81	-4.26	19	-4.61	27	-4.07	-7.18	31	2	19
Q9ET01_24_839_1xoi.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.3	31	-12.3	31	-5.35	31	-5.35	31	-5.84	61	-4.59	-6.22	85	1	88
Q8VBT2_1_325_1pwh.2.A_swissmodel_THR_PLP_1.dlg	THR	-12.42	88	-11.81	18	-5.93	88	-6.02	18	-6.83	41	-5.67	-6.83	41	3	66
Q8QZR1_64_442_3pdx.1.A_swissmodel_THR_PLP_2.dlg	THR	-10.68	44	-10.35	90	-4.57	44	-4.55	90	-4.55	90	-3.89	-5.26	41	2	48
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_THR_PLP_1.dlg	THR	-12.53	28	-12.53	28	-3.85	28	-3.85	28	-4.2	14	-3.75	-6.45	2	1	39
Q71RI9-1_42_451_5veq.1.A_swissmodel_THR_PLP_1.dlg	THR	-15.44	32	-15.44	32	-5.28	32	-5.28	32	-6.43	79	-5.6	-7.54	58	1	63
Q71RI9-2_7_416_5veq.1.A_swissmodel_THR_PLP_2.dlg	THR	-14.61	20	-14.61	20	-5.86	20	-5.86	20	-6.4	16	-5.5	-7.2	68	1	56
