dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
P32929_1_405_3elp_pdb_ORN_PLP_1.dlg	ORN	-12.55	55	-12.34	59	-2.61	55	-3.25	59	-3.58	61	-2.96	-3.78	100	4	17
P04181_38_439_1gbn_pdb_ORN_PLP_2.dlg	ORN	-13.3	61	-13.3	61	-4.38	61	-4.38	61	-4.89	30	-4.24	-5.94	98	1	35
P06737_2_847_2ati_pdb_ORN_PLP_1.dlg	ORN	-14.64	85	-13.6	72	-4.83	85	-5.01	72	-5.72	89	-4.9	-5.72	89	4	34
P54687_21_386_2abj_pdb_ORN_PLP_2.dlg	ORN	-13.33	97	-12.32	29	-2.76	97	-3.42	29	-3.85	36	-3.09	-6.34	67	3	26
Q05329_88_584_2okk_pdb_ORN_PLP_1.dlg	ORN	-13.05	6	-12.56	54	-3.4	6	-2.98	54	-4.22	31	-3.18	-4.38	60	5	26
P06737_2_847_2ati_pdb_ORN_PLP_2.dlg	ORN	-15.47	78	-14.04	72	-3.92	78	-4.7	72	-4.7	72	-3.53	-5.68	12	2	32
Q8N5Z0_1_425_3ue8_pdb_ORN_PLP_2.dlg	ORN	-13.24	59	-13.24	59	-3.52	59	-3.52	59	-5.06	35	-4.47	-6.36	28	1	22
P04181_1_439_2oat_pdb_ORN_PLP_4.dlg	ORN	-13.84	8	-13.77	57	-4.51	8	-5.22	57	-5.51	35	-4.76	-7.07	6	2	50
P04181_1_439_2byl_pdb_ORN_PLP_1.dlg	ORN	-11.66	25	-11.66	25	-2.62	25	-2.62	25	-2.63	91	-1.73	-7.04	12	1	21
O15382_28_392_1ekv_pdb_ORN_PLP_1.dlg	ORN	-14.59	50	-14.59	50	-2.99	50	-2.99	50	-3.77	44	-2.93	-5.5	15	1	22
Q8TBG4_7_438_4ysn.1.A_swissmodel_ORN_PLP_4.dlg	ORN	-9.04	81	-9.04	81	-5.49	81	-5.49	81	-5.92	53	-3.83	-5.92	53	1	34
O15382_28_392_5bwu_pdb_ORN_PLP_1.dlg	ORN	-14.23	92	-13.21	96	-3.04	92	-4.21	96	-4.24	69	-3.66	-6.21	83	8	16
P32929_1_402_2nmp_pdb_ORN_PLP_1.dlg	ORN	-12.8	46	-12.8	46	-5.83	46	-5.83	46	-5.83	46	-4.26	-5.83	46	1	73
Q6ZQY3_35_521_2jis.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.35	41	-13.35	41	-2.81	41	-2.81	41	-3.66	63	-3.05	-5.09	13	1	12
P04181_38_439_1gbn_pdb_ORN_PLP_4.dlg	ORN	-13.03	33	-13.03	33	-4.66	33	-4.66	33	-5.08	8	-4.02	-6.32	6	1	50
Q16773_1_422_1w7m_pdb_ORN_PLP_1.dlg	ORN	-13.21	33	-13.21	33	-5.09	33	-5.09	33	-5.99	57	-4.81	-5.99	57	1	53
Q16773_3_421_4ge9.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-10.01	66	-9.83	44	-5.41	66	-4.88	44	-4.88	44	-4.19	-5.51	78	3	30
P32929_1_402_2nmp_pdb_ORN_PLP_4.dlg	ORN	-12.48	81	-12.48	81	-4.67	81	-4.67	81	-5.25	37	-4.4	-5.62	15	1	37
Q9GZT4_3_329_3l6r.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-15.14	7	-15.14	7	-4.86	7	-4.86	7	-5.49	45	-4.65	-5.53	19	1	35
Q9Y697_67_457_5kz5_pdb_ORN_PLP_1.dlg
Q6ZQY3_35_520_5hsj.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-12.04	49	-12.04	49	-2.15	49	-2.15	49	-3.33	60	-2.31	-4.53	76	1	23
Q96I15_8_445_3gzd_pdb_ORN_PLP_2.dlg	ORN	-12.16	38	-12.16	38	-2.61	38	-2.61	38	-3.27	1	-2.29	-3.97	9	1	38
O15270_145_538_1fc4.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-9.34	78	-9.34	78	-3.21	78	-3.21	78	-4.11	18	-2.52	-4.56	52	1	43
