KYN	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P06737_1_847_1l5q_pdb_KYNU_PLP_1.dlg	-13.0	23	-13.0	23	-8.48	23	-8.48	23	-8.52	73	-7.49	-9.06	63	1	14
O15382_28_392_1ekv_pdb_KYNU_PLP_1.dlg	-14.91	80	-14.47	23	-7.53	80	-6.09	23	-7.54	4	-6.5	-9.52	49	3	36
Q6ZQY3_35_520_5hsj.1.A_swissmodel_KYNU_PLP_1.dlg	-11.46	15	-11.4	34	-6.49	15	-5.36	34	-5.86	85	-5.36	-6.99	20	2	11
Q6YP21_41_450_3e2y.1.A_swissmodel_KYNU_PLP_2.dlg	-17.67	78	-17.67	78	-8.03	78	-8.03	78	-8.93	72	-7.36	-8.93	72	1	54
Q4AC99_168_554_3ath.1.A_swissmodel_KYNU_PLP_1.dlg	-11.52	7	-10.59	64	-6.4	7	-3.72	64	-4.82	61	-3.69	-8.37	9	2	16
P04181_1_439_2byl_pdb_KYNU_PLP_2.dlg	-10.05	94	-10.05	94	-5.75	94	-5.75	94	-5.88	65	-4.94	-6.85	52	1	16
Q8TBG4_7_438_4ysn.1.A_swissmodel_KYNU_PLP_1.dlg	-8.21	40	-8.16	80	-5.71	40	-4.86	80	-5.45	32	-2.96	-7.75	16	2	35
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_8.dlg
Q16773_4_422_4wp0.1.A_swissmodel_KYNU_PLP_1.dlg	-14.41	77	-13.99	61	-7.12	77	-6.11	61	-7.35	33	-5.49	-8.32	5	2	60
O15382_28_392_1kta_pdb_KYNU_PLP_1.dlg	-15.59	67	-15.59	67	-7.23	67	-7.23	67	-7.39	59	-6.33	-8.54	89	1	45
P11216_22_840_5iko.1.A_swissmodel_KYNU_PLP_1.dlg	-13.96	10	-13.52	44	-6.31	10	-6.47	44	-7.46	67	-6.3	-7.46	67	2	26
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_6.dlg
P0DN79_41_550_4l3v.1.A_swissmodel_KYNU_PLP_1.dlg	-5.04	28	-1.5	11	-4.83	28	0.44	11	-0.34	24	2.79	-4.83	28	2	16
O15382_28_392_5i60_pdb_KYNU_PLP_2.dlg	-14.32	86	-13.18	14	-6.73	86	-4.41	14	-5.82	5	-4.71	-7.57	75	3	21
P11216_22_840_5iko.1.A_swissmodel_KYNU_PLP_4.dlg	-13.84	67	-13.42	6	-6.38	67	-4.85	6	-6.83	37	-5.27	-7.54	88	3	26
P11926_1_461_2on3_pdb_KYNU_PLP_2.dlg	-11.1	89	-11.1	89	-5.05	89	-5.05	89	-5.29	7	-4.43	-6.96	42	1	9
P20711_1_480_3rbf.1.B_swissmodel_KYNU_PLP_2.dlg	-11.3	25	-11.3	25	-3.2	25	-3.2	25	-4.24	81	-3.24	-7.8	9	1	17
Q9Y697_67_457_5kz5_pdb_KYNU_PLP_5.dlg
P06737_1_847_1l5r_pdb_KYNU_PLP_1.dlg	-13.16	35	-11.54	58	-6.31	35	-6.66	58	-6.89	82	-6.01	-8.75	45	9	22
P11216_22_840_5iko.1.A_swissmodel_KYNU_PLP_3.dlg	-13.6	21	-13.42	64	-6.4	21	-5.0	64	-6.69	69	-5.3	-7.49	35	3	27
P04181_1_439_2oat_pdb_KYNU_PLP_3.dlg	-10.94	62	-10.76	23	-4.72	62	-6.27	23	-6.67	49	-5.56	-7.07	92	2	50
Q96I15_8_445_3gzc_pdb_KYNU_PLP_1.dlg	-10.06	91	-8.34	66	-6.69	91	-6.14	66	-6.57	4	-5.01	-7.34	65	4	24
O15382_28_392_5cr5_pdb_KYNU_PLP_1.dlg	-15.79	34	-15.79	34	-6.36	34	-6.36	34	-6.86	55	-5.98	-8.09	22	1	41
P06737_6_839_1fa9.1.A_swissmodel_KYNU_PLP_1.dlg	-14.25	36	-14.25	36	-5.95	36	-5.95	36	-6.6	6	-5.58	-7.73	62	1	17
