dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
P32929_10_399_3cog.1.A_swissmodel_CYT_PLP_4.dlg	CYT	-9.13	41	-7.92	73	-4.09	41	-6.84	73	-7.85	86	-3.53	-9.33	93	2	21
P21549_1_392_3r9a_pdb_CYT_PLP_1.dlg	CYT	-13.93	69	-11.61	73	-7.68	69	-6.51	73	-7.83	49	-5.55	-8.81	95	2	36
P06737_24_832_3ceh_pdb_CYT_PLP_1.dlg	CYT	-13.38	67	-12.97	62	-6.78	67	-6.58	62	-7.45	44	-6.13	-7.59	4	2	18
Q8N5Z0_1_425_2xh1_pdb_CYT_PLP_2.dlg	CYT	-14.82	11	-14.82	11	-7.01	11	-7.01	11	-7.09	72	-4.82	-9.69	61	1	25
P20711_1_480_3rbf.1.B_swissmodel_CYT_PLP_1.dlg	CYT	-12.74	46	-12.53	52	-4.96	46	-3.94	52	-4.09	19	-3.15	-7.09	24	2	6
O15382_28_392_5bwx_pdb_CYT_PLP_1.dlg	CYT	-16.25	42	-16.25	42	-8.1	42	-8.1	42	-9.28	46	-7.4	-10.21	18	1	16
P21549_6_392_3r9a.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.23	21	-11.89	5	-10.28	21	-5.26	5	-8.66	12	-5.59	-10.28	21	3	39
Q8N5Z0_1_425_4ge4_pdb_CYT_PLP_2.dlg	CYT	-17.08	41	-17.08	41	-6.39	41	-6.39	41	-7.3	20	-6.01	-11.09	66	1	28
Q9Y697_67_457_5kz5_pdb_CYT_PLP_8.dlg
P17735_41_444_3dyd_pdb_CYT_PLP_2.dlg	CYT	-12.0	81	-10.14	49	-2.86	81	-2.03	49	-3.63	82	-2.43	-6.31	51	15	12
O15382_28_392_5bww_pdb_CYT_PLP_2.dlg	CYT	-15.05	28	-15.05	28	-5.77	28	-5.77	28	-7.79	67	-6.69	-9.51	52	1	14
O95470_111_553_4q6r.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.76	91	-13.76	91	-8.86	91	-8.86	91	-8.88	54	-8.08	-8.88	54	1	29
P20711_1_480_3rbl_pdb_CYT_PLP_1.dlg	CYT	-12.83	59	-12.17	64	-4.26	59	-4.89	64	-5.76	25	-4.27	-6.75	26	3	18
O15382_28_392_2hdk_pdb_CYT_PLP_2.dlg	CYT	-14.92	67	-14.51	13	-8.51	67	-6.31	13	-7.08	29	-5.72	-9.42	10	3	13
P21549_1_392_4cbr_pdb_CYT_PLP_2.dlg	CYT	-12.16	38	-12.16	38	-5.87	38	-5.87	38	-7.1	67	-4.95	-10.02	30	1	43
P34897_17_504_3ou5_pdb_CYT_PLP_2.dlg	CYT	-11.38	52	-10.46	4	-3.39	52	-3.49	4	-3.5	30	-3.08	-6.4	64	7	6
Q96I15_8_445_3gzd_pdb_CYT_PLP_1.dlg	CYT	-11.56	76	-11.56	76	-8.32	76	-8.32	76	-8.67	57	-6.44	-8.67	57	1	37
Q96QU6_63_482_1ynu.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-14.76	4	-12.48	18	-6.35	4	-7.6	18	-7.64	95	-5.91	-8.66	30	2	27
P06737_2_847_3ddw_pdb_CYT_PLP_1.dlg	CYT	-13.62	49	-12.3	15	-6.1	49	-9.25	15	-9.25	15	-7.6	-9.25	15	7	18
Q9HD40_1_501_4zdo_pdb_CYT_PLP_2.dlg	CYT	-15.25	88	-15.25	88	-7.4	88	-7.4	88	-7.48	93	-6.48	-9.43	3	1	9
P06737_1_847_1l5q_pdb_CYT_PLP_3.dlg	CYT	-13.54	67	-13.32	88	-7.22	67	-8.97	88	-9.14	79	-8.01	-9.59	48	5	23
O15382_28_392_2hgw_pdb_CYT_PLP_1.dlg	CYT	-15.69	82	-15.53	2	-8.13	82	-6.55	2	-8.11	16	-6.25	-10.53	24	2	23
P21549_1_392_4cbs_pdb_CYT_PLP_2.dlg	CYT	-11.77	20	-11.77	20	-6.44	20	-6.44	20	-7.18	97	-5.52	-8.02	54	1	48
Q9GZT4_1_340_3l6b_pdb_CYT_PLP_1.dlg	CYT	-13.34	73	-12.85	83	-7.11	73	-7.67	83	-7.93	23	-6.09	-9.02	91	3	15
Q16773_1_422_1w7m_pdb_CYT_PLP_1.dlg	CYT	-14.98	24	-14.98	24	-6.37	24	-6.37	24	-7.22	88	-5.1	-8.9	56	1	51
Q9Y600_1_493_2jis_pdb_CYT_PLP_2.dlg	CYT	-14.29	6	-14.29	6	-6.4	6	-6.4	6	-6.4	6	-5.08	-8.7	83	1	14
O15270_145_538_1fc4.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-3.67	75	-2.14	57	-6.56	75	-1.92	57	-4.41	9	-1.05	-6.87	62	6	9
