dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
P06737_2_847_1xoi_pdb_PLP_1.dlg	PLP	-9.73	63	-9.73	63	-10.53	63	-10.53	63	-9.6	-9.6	-10.46	-10.46	1	67
Q8TD30_49_523_3ihj_pdb_PLP_1.dlg	PLP	-8.87	50	-8.87	50	-9.76	50	-9.76	50	-8.49	-8.49	-9.5	-9.5	1	71
Q4AC99_134_553_1m7y.1.A_swissmodel_PLP_2.dlg	PLP	-6.82	23	-6.82	23	-7.65	23	-7.65	23	-6.44	-6.44	-7.31	-7.31	1	78
Q8N5Z0_1_425_3ue8_pdb_PLP_2.dlg	PLP	-9.78	33	-9.66	78	-10.59	33	-10.44	78	-9.19	-9.1	-9.97	-9.97	2	53
Q05329_88_584_2okk_pdb_PLP_2.dlg	PLP	-9.51	90	-9.51	90	-10.3	90	-10.3	90	-9.33	-9.33	-10.13	-10.13	1	84
Q8IUZ5_10_438_5g4i.1.A_swissmodel_PLP_1.dlg	PLP	-9.54	47	-9.18	46	-10.23	47	-9.93	46	-9.4	-8.9	-10.15	-9.69	5	22
Q6ZQY3_35_520_5hsj.1.A_swissmodel_PLP_1.dlg	PLP	-7.15	28	-7.04	38	-8.01	28	-8.0	38	-7.06	-6.88	-8.19	-8.02	2	32
P21549_1_392_1j04_pdb_PLP_1.dlg	PLP	-9.05	38	-8.35	83	-10.01	38	-9.16	83	-8.93	-8.14	-9.73	-9.1	5	42
Q96QU6_55_475_1m7y.1.A_swissmodel_PLP_2.dlg	PLP	-8.15	95	-7.93	17	-9.0	95	-9.34	17	-8.15	-7.56	-9.0	-8.88	3	27
P21549_6_392_3r9a.1.A_swissmodel_PLP_1.dlg	PLP	-8.86	48	-8.86	48	-9.68	48	-9.68	48	-8.49	-8.49	-9.31	-9.31	1	68
P17735_51_442_4ge9.1.A_swissmodel_PLP_1.dlg	PLP	-8.44	72	-7.94	86	-9.22	72	-9.2	86	-8.29	-7.81	-9.06	-9.01	2	48
Q96EN8_35_495_5j8q.1.A_swissmodel_PLP_1.dlg	PLP	-6.9	2	-6.88	34	-7.58	2	-7.44	34	-6.57	-6.59	-7.34	-7.38	2	31
O15382_28_392_5i5y_pdb_PLP_2.dlg	PLP	-10.48	78	-9.67	15	-11.03	78	-10.51	15	-10.31	-9.38	-11.11	-10.4	3	59
O15382_28_392_2hgw_pdb_PLP_2.dlg	PLP	-10.25	62	-9.91	35	-10.9	62	-10.82	35	-9.9	-9.51	-10.69	-10.5	2	68
Q9Y697_67_457_5kz5_pdb_PLP_12.dlg
Q4AC99_168_554_3ath.1.A_swissmodel_PLP_1.dlg	PLP	-7.34	8	-7.34	8	-8.55	8	-8.55	8	-7.13	-7.13	-8.26	-8.26	1	47
Q9HD40_1_501_4zdo_pdb_PLP_3.dlg	PLP	-9.94	22	-8.7	12	-10.86	22	-10.15	12	-9.72	-8.53	-10.54	-9.92	4	47
Q8N5Z0_1_425_3ue8_pdb_PLP_1.dlg	PLP	-11.42	28	-11.42	28	-12.33	28	-12.33	28	-10.94	-10.94	-11.83	-11.83	1	61
Q99259_90_594_3vp6_pdb_PLP_2.dlg	PLP	-10.28	76	-10.28	76	-11.05	76	-11.05	76	-10.09	-10.09	-10.88	-10.88	1	78
P04181_36_439_2byj.1.A_swissmodel_PLP_1.dlg	PLP	-7.98	43	-7.31	54	-8.96	43	-8.2	54	-7.71	-7.25	-8.99	-8.07	3	34
P20711_1_480_3rbf_pdb_PLP_2.dlg	PLP	-9.79	79	-9.79	79	-10.53	79	-10.53	79	-9.46	-9.46	-10.25	-10.25	1	40
P0DN79_41_550_4l3v.1.A_swissmodel_PLP_1.dlg	PLP	-8.11	11	-7.22	54	-8.72	11	-8.33	54	-7.7	-7.07	-8.52	-8.12	2	78
P06737_2_847_2ati_pdb_PLP_1.dlg	PLP	-8.63	76	-8.41	45	-9.35	76	-9.17	45	-8.38	-8.22	-9.27	-9.28	3	34
O15382_28_392_5i5v_pdb_PLP_2.dlg	PLP	-10.3	71	-9.92	38	-10.91	71	-10.78	38	-10.12	-9.52	-10.78	-10.56	2	81
Q99259_93_594_2okj_pdb_PLP_2.dlg	PLP	-9.29	77	-9.29	77	-10.14	77	-10.14	77	-9.07	-9.07	-9.93	-9.93	1	84
O15382_28_392_5bwu_pdb_PLP_2.dlg	PLP	-10.71	42	-9.73	27	-11.29	42	-10.52	27	-10.53	-9.42	-11.17	-10.46	2	56
Q96I15_8_445_3gzc_pdb_PLP_2.dlg	PLP	-7.29	47	-7.29	47	-8.06	47	-8.06	47	-6.94	-6.94	-7.74	-7.74	1	40
P20711_1_480_3rbl_pdb_PLP_1.dlg	PLP	-7.49	25	-7.49	96	-8.39	25	-8.88	96	-7.18	-7.09	-8.22	-8.54	2	40
P11217_13_837_3zcp.1.A_swissmodel_PLP_2.dlg	PLP	-8.95	96	-8.62	23	-9.8	96	-9.14	23	-8.55	-8.51	-9.56	-9.38	3	37
P06737_2_847_3dd1_pdb_PLP_1.dlg	PLP	-9.63	35	-9.22	51	-10.6	35	-9.72	51	-9.33	-9.04	-10.25	-10.0	3	42
O15382_28_392_2hgx_pdb_PLP_1.dlg	PLP	-10.31	65	-10.31	65	-11.24	65	-11.24	65	-9.88	-9.88	-10.95	-10.95	1	82
Q96I15_29_444_3gzc.1.A_swissmodel_PLP_1.dlg	PLP	-8.17	7	-8.17	7	-8.98	7	-8.98	7	-8.01	-8.01	-8.87	-8.87	1	72
P21549_1_392_4cbs_pdb_PLP_1.dlg	PLP	-8.6	77	-8.34	56	-9.42	77	-10.23	56	-8.29	-8.09	-9.4	-9.81	2	36
P11216_22_840_5iko.1.A_swissmodel_PLP_1.dlg	PLP	-8.35	63	-8.35	63	-9.18	63	-9.18	63	-8.14	-8.14	-9.0	-9.0	1	55
P21549_1_392_3r9a_pdb_PLP_2.dlg	PLP	-8.73	29	-8.73	29	-9.51	29	-9.51	29	-8.48	-8.48	-9.25	-9.25	1	63
Q9HD40_1_501_4zdl_pdb_PLP_1.dlg	PLP	-10.25	14	-10.25	14	-11.71	14	-11.71	14	-9.81	-9.81	-11.05	-11.05	1	68
O95470_62_568_4q6r_pdb_PLP_1.dlg	PLP	-10.75	74	-9.83	85	-11.77	74	-10.72	85	-10.66	-9.44	-11.66	-10.35	2	53
Q4AC99_134_553_1m7y.1.A_swissmodel_PLP_1.dlg	PLP	-6.98	31	-6.98	31	-7.78	31	-7.78	31	-6.57	-6.57	-7.43	-7.43	1	57
P34896_8_483_1eji.1.D_swissmodel_PLP_3.dlg	PLP	-6.55	12	-6.55	12	-7.32	12	-7.32	12	-6.2	-6.2	-7.13	-7.13	1	59
P22557_194_547_1fc4.1.A_swissmodel_PLP_1.dlg	PLP	-10.34	30	-10.34	30	-11.03	30	-11.03	30	-9.61	-9.61	-10.51	-10.51	1	53
Q99259_90_594_3vp6_pdb_PLP_1.dlg	PLP	-9.79	7	-9.79	7	-10.66	7	-10.66	7	-9.39	-9.39	-10.22	-10.22	1	97
P04181_36_439_2byj.1.A_swissmodel_PLP_2.dlg	PLP	-7.87	93	-7.58	24	-8.8	93	-8.3	24	-7.72	-7.35	-8.83	-8.1	3	32
Q8N5Z0_1_425_5efs_pdb_PLP_2.dlg	PLP	-11.14	74	-11.14	74	-12.2	74	-12.2	74	-11.02	-11.02	-12.07	-12.07	1	64
Q9Y697_67_457_5kz5_pdb_PLP_4.dlg
P11926_2_421_4zgy_pdb_PLP_1.dlg	PLP	-8.23	83	-7.85	81	-8.92	83	-8.5	81	-8.23	-7.32	-8.92	-8.43	2	20
Q96I15_8_445_3gzd_pdb_PLP_1.dlg	PLP	-7.82	87	-7.82	87	-8.66	87	-8.66	87	-7.63	-7.63	-8.4	-8.4	1	52
Q16719_6_460_2hzp.1.A_swissmodel_PLP_1.dlg	PLP	-8.11	30	-6.18	16	-9.1	30	-6.8	16	-7.57	-6.03	-8.58	-6.67	3	42
Q9GZT4_1_340_3l6r_pdb_PLP_2.dlg	PLP	-6.98	12	-6.95	71	-7.8	12	-7.63	71	-6.89	-6.89	-7.71	-7.53	2	61
P34897_22_504_4pvf_pdb_PLP_1.dlg	PLP	-8.47	88	-8.47	88	-9.33	88	-9.33	88	-8.11	-8.11	-9.09	-9.09	1	47
Q8N5Z0_1_425_3dc1_pdb_PLP_2.dlg	PLP	-8.79	53	-7.8	33	-9.67	53	-8.54	33	-8.58	-7.65	-9.46	-8.4	3	28
O15382_28_392_1ekp_pdb_PLP_1.dlg	PLP	-9.91	63	-9.62	66	-10.58	63	-10.34	66	-9.57	-9.4	-10.53	-10.26	3	47
P06737_1_847_1l5q_pdb_PLP_4.dlg	PLP	-9.76	82	-9.43	40	-10.6	82	-10.97	40	-9.55	-9.26	-10.34	-10.54	3	47
Q8N5Z0_1_425_4ge4_pdb_PLP_1.dlg	PLP	-11.43	40	-11.43	40	-12.33	40	-12.33	40	-10.87	-10.87	-11.91	-11.91	1	48
Q16773_3_421_4ge9.1.A_swissmodel_PLP_1.dlg	PLP	-8.01	76	-8.01	76	-8.87	76	-8.87	76	-7.73	-7.73	-8.68	-8.68	1	67
P21549_1_392_3r9a_pdb_PLP_1.dlg	PLP	-8.86	12	-8.86	12	-9.67	12	-9.67	12	-8.42	-8.42	-9.23	-9.23	1	69
P06737_1_847_1em6_pdb_PLP_1.dlg	PLP	-9.64	65	-9.45	40	-10.47	65	-11.08	40	-9.53	-9.23	-10.34	-10.5	2	44
O15270_112_537_4bmk.1.A_swissmodel_PLP_1.dlg	PLP	-8.77	62	-8.77	62	-9.34	62	-9.34	62	-8.44	-8.44	-9.18	-9.18	1	59
P20711_1_383_1js6.1.A_swissmodel_PLP_2.dlg	PLP	-7.72	44	-7.72	44	-8.58	44	-8.58	44	-7.31	-7.31	-8.24	-8.24	1	62
Q9Y697_67_457_5kz5_pdb_PLP_7.dlg
P06737_1_847_1l5s_pdb_PLP_3.dlg	PLP	-9.4	33	-9.23	19	-10.15	33	-10.78	19	-9.18	-9.06	-9.93	-10.31	3	56
O15382_28_392_2hdk_pdb_PLP_1.dlg	PLP	-10.05	73	-9.24	45	-10.67	73	-9.87	45	-9.71	-9.08	-10.57	-9.82	3	46
Q9Y600_7_493_2jis.1.A_swissmodel_PLP_1.dlg	PLP	-8.49	8	-8.28	4	-9.07	8	-9.54	4	-8.23	-7.98	-8.99	-9.21	2	72
Q9HD40_19_462_4zdl.1.A_swissmodel_PLP_3.dlg	PLP	-11.29	31	-11.29	31	-12.74	31	-12.74	31	-10.83	-10.83	-12.12	-12.12	1	64
Q96GA7_11_328_2rkb.1.A_swissmodel_PLP_1.dlg	PLP	-8.8	32	-7.84	15	-9.62	32	-9.07	15	-8.57	-7.66	-9.38	-8.81	5	24
P06737_1_847_1l7x_pdb_PLP_3.dlg	PLP	-9.62	38	-9.4	40	-10.27	38	-10.03	40	-9.55	-9.21	-10.25	-9.99	3	52
P20132_4_322_1p5j.1.A_swissmodel_PLP_1.dlg	PLP	-9.28	95	-8.34	35	-10.08	95	-9.12	35	-9.04	-8.15	-10.01	-9.27	5	38
P54687_21_386_2abj_pdb_PLP_1.dlg	PLP	-8.99	24	-8.91	67	-10.4	24	-9.59	67	-8.82	-8.47	-9.91	-9.37	2	33
P06737_1_847_2zb2_pdb_PLP_2.dlg	PLP	-8.57	71	-8.3	94	-9.14	71	-8.89	94	-8.36	-8.18	-9.07	-9.07	4	34
