CYT	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P05202_32_430_1ama.1.A_swissmodel_CYT_PLP_1.dlg	-15.01	3	-13.04	75	-6.01	3	-6.94	75	-8.78	58	-5.55	-9.02	64	4	29
Q71RI9-1_42_451_5veq_pdb_CYT_PLP_1.dlg	-18.55	95	-18.55	95	-7.05	95	-7.05	95	-9.19	82	-7.28	-9.85	35	1	38
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_1.dlg	-16.93	69	-15.49	49	-4.72	69	-6.64	49	-8.96	60	-7.39	-9.61	8	4	14
Q71RI9-1_42_451_5ver_pdb_CYT_PLP_2.dlg	-17.81	53	-17.81	53	-7.3	53	-7.3	53	-9.31	74	-7.31	-9.78	64	1	42
P05201_1_413_5tor.1.A_swissmodel_CYT_PLP_1.dlg	-14.46	44	-13.45	67	-5.54	44	-4.62	67	-5.25	80	-4.51	-10.12	48	6	10
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_CYT_PLP_1.dlg	-11.46	73	-10.34	26	-4.91	73	-2.85	26	-3.27	59	-2.86	-6.11	8	8	7
P50431_9_478_1rvu.1.A_swissmodel_CYT_PLP_2.dlg	-10.7	89	-10.7	89	-7.63	89	-7.63	89	-7.63	89	-6.39	-7.88	43	1	32
Q6P6M7_23_467_3bcb.1.A_swissmodel_CYT_PLP_1.dlg	-16.42	15	-16.42	15	-5.19	15	-5.19	15	-6.68	30	-5.57	-9.0	10	1	11
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_CYT_PLP_1.dlg	-10.44	95	-9.61	54	-4.91	95	-6.68	54	-6.68	54	-5.11	-6.87	6	3	15
P05202_30_430_3pdb_pdb_CYT_PLP_2.dlg	-15.27	41	-14.53	22	-7.33	41	-6.05	22	-6.05	22	-4.79	-9.41	99	4	17
Q9ET01_24_839_1xoi.1.A_swissmodel_CYT_PLP_2.dlg	-12.8	71	-12.8	71	-4.73	71	-4.73	71	-6.64	3	-5.31	-8.47	70	1	19
Q8CI94_11_836_2pyd.1.A_swissmodel_CYT_PLP_1.dlg	-11.82	92	-10.9	5	-5.69	92	-6.02	5	-6.82	91	-5.76	-8.28	83	3	15
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_3.dlg	-17.08	92	-17.08	92	-5.51	92	-5.51	92	-7.51	100	-5.33	-9.71	89	1	14
