HIS	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q6P6M7_23_466_3bca_pdb_HIS_PLP_3.dlg	-14.2	1	-13.14	67	-8.68	1	-5.07	67	-6.37	43	-4.92	-8.68	1	2	54
Q9WUB3_11_836_2pyd.1.A_swissmodel_HIS_PLP_1.dlg	-11.78	71	-10.29	64	-5.4	71	-5.26	64	-5.86	50	-5.02	-6.13	83	5	32
Q71RI9-1_42_451_3e2z_pdb_HIS_PLP_1.dlg	-13.51	12	-13.51	12	-6.87	12	-6.87	12	-7.43	46	-6.79	-7.43	46	1	48
Q91W43_57_1010_6i34.1.A_swissmodel_HIS_PLP_1.dlg	-8.34	84	-6.32	66	-2.17	84	-4.21	66	-4.21	66	-3.15	-4.71	28	4	25
Q8BTY1_4_421_1w7m.1.A_swissmodel_HIS_PLP_1.dlg	-14.94	80	-14.94	80	-5.96	80	-5.96	80	-6.3	97	-5.88	-7.4	31	1	81
Q91WT9-1_39_559_4l28.1.A_swissmodel_HIS_PLP_1.dlg	-7.31	45	-7.31	45	-3.21	45	-3.21	45	-4.09	82	-2.74	-6.3	74	1	27
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HIS_PLP_1.dlg	-7.84	59	-7.28	90	-4.22	59	-4.47	90	-4.47	90	-3.9	-4.47	90	2	18
O35423-1_27_412_3kgw_pdb_HIS_PLP_2.dlg	-11.04	2	-9.37	84	-4.77	2	-6.71	84	-6.71	84	-5.44	-6.71	84	8	28
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_1.dlg	-13.66	30	-13.66	30	-5.63	30	-5.63	30	-5.9	2	-5.42	-6.46	58	1	31
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_2.dlg	-14.06	48	-13.61	77	-6.19	48	-5.51	77	-5.82	97	-5.21	-6.39	75	2	31
P23738_17_484_4e1o.1.A_swissmodel_HIS_PLP_2.dlg	-13.0	71	-13.0	71	-5.12	71	-5.12	71	-5.59	75	-5.24	-5.84	34	1	50
P08680_143_578_6hrh.1.B_swissmodel_HIS_PLP_2.dlg	-12.63	26	-12.63	26	-4.49	26	-4.49	26	-5.78	74	-4.5	-5.78	74	1	74
O35423-1_23_412_3kgw.1.A_swissmodel_HIS_PLP_1.dlg	-10.87	29	-10.59	62	-3.04	29	-2.98	62	-3.44	47	-3.09	-5.66	76	2	28
Q8BTY1_4_421_1w7m.1.A_swissmodel_HIS_PLP_2.dlg	-15.71	26	-15.71	26	-5.96	26	-5.96	26	-6.45	96	-5.73	-7.6	100	1	85
Q6P6M7_23_467_3bcb_pdb_HIS_PLP_4.dlg	-12.92	61	-12.92	61	-3.67	61	-3.67	61	-5.0	87	-3.99	-6.77	22	1	40
Q9CXF0_6_460_3e9k.1.A_swissmodel_HIS_PLP_1.dlg	-8.9	40	-8.35	57	-3.07	40	-1.62	57	-1.72	44	-1.55	-5.78	12	4	44
Q91WT9-2_40_543_4pcu.1.A_swissmodel_HIS_PLP_1.dlg	-7.39	60	-7.39	60	-4.19	60	-4.19	60	-4.19	60	-2.79	-6.56	29	1	20
Q8BG54_108_530_6hrh.1.B_swissmodel_HIS_PLP_2.dlg	-11.52	94	-11.52	94	-3.76	94	-3.76	94	-4.75	86	-3.79	-5.29	61	1	68
O35423-1_27_412_3kgw_pdb_HIS_PLP_1.dlg	-10.69	55	-10.2	39	-4.65	55	-3.93	39	-4.05	20	-3.51	-6.03	8	4	35
Q3UEG6_52_507_4atp.1.A_swissmodel_HIS_PLP_2.dlg	-7.46	71	-7.46	71	-4.23	71	-4.23	71	-4.61	36	-3.62	-6.17	14	1	37
Q3UNZ2_26_422_1d7k.1.B_swissmodel_HIS_PLP_2.dlg	-10.63	18	-10.43	11	-3.77	18	-4.54	11	-4.54	11	-3.61	-6.05	27	2	24
Q9WUB3_11_836_2pyd.1.A_swissmodel_HIS_PLP_2.dlg	-11.19	90	-10.42	58	-5.09	90	-5.24	58	-6.06	12	-4.75	-6.06	12	5	34
A2AIG8-1_37_482_4n0b.2.B_swissmodel_HIS_PLP_2.dlg	-11.77	84	-11.58	35	-6.46	84	-4.51	35	-5.14	63	-4.53	-6.46	84	2	22
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	-12.55	64	-12.55	64	-4.19	64	-4.19	64	-4.19	64	-3.84	-5.72	17	1	30
Q80WP8-1_64_549_5hsj.1.A_swissmodel_HIS_PLP_1.dlg	-11.0	81	-10.29	29	-4.31	81	-4.98	29	-5.13	79	-4.78	-5.14	16	4	32
Q6P6M7_23_466_3bca_pdb_HIS_PLP_2.dlg	-14.18	35	-14.18	35	-6.03	35	-6.03	35	-6.84	9	-5.68	-6.84	9	1	59
A2AIG8-1_64_482_1m4n.1.A_swissmodel_HIS_PLP_1.dlg	-9.88	10	-9.88	10	-3.87	10	-3.87	10	-4.87	81	-4.08	-6.11	23	1	26
O88533_1_467_1js6.1.A_swissmodel_HIS_PLP_2.dlg	-11.17	15	-10.01	60	-5.58	15	-4.97	60	-5.24	69	-4.57	-5.72	95	4	17
P00860_7_427_1d7k.1.A_swissmodel_HIS_PLP_1.dlg	-10.66	67	-10.66	67	-4.71	67	-4.71	67	-4.96	25	-4.31	-6.0	40	1	16
