dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.05	42	-8.95	41	-5.13	42	-5.52	41	-8.28	-8.45	-4.98	-5.68	2	16
Q8QZR1_52_442_4ge9.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.22	13	-10.22	13	-6.07	13	-6.07	13	-7.91	-7.91	-5.34	-5.34	1	56
O88533_1_467_1js6.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.29	47	-9.29	47	-5.67	47	-5.67	47	-8.55	-8.55	-5.08	-5.08	1	39
P61922-1_39_499_4zsy.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-12.75	7	-12.75	7	-6.62	7	-6.62	7	-11.52	-11.52	-6.44	-6.44	1	67
Q8VBT2_5_317_2o2j.1.B_swissmodel_GLU_PLP_1.dlg	GLU	-9.17	12	-9.17	12	-5.45	12	-5.45	12	-8.29	-8.29	-4.93	-4.93	1	23
O35423-2_1_390_3kgw.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-11.48	37	-10.68	77	-5.65	37	-5.58	77	-10.45	-9.71	-5.36	-4.96	2	33
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_3.dlg	GLU	-9.53	93	-9.53	93	-4.5	93	-4.5	93	-7.23	-7.23	-4.86	-4.86	1	53
Q8QZR1_64_442_3pdx_pdb_GLU_PLP_2.dlg	GLU	-9.52	14	-9.39	88	-6.71	14	-6.08	88	-8.8	-7.96	-5.31	-5.33	3	44
Q71RI9-1_42_451_5veq_pdb_GLU_PLP_4.dlg	GLU	-16.57	61	-16.57	61	-7.11	61	-7.11	61	-15.06	-15.06	-6.38	-6.38	1	74
O35484_8_435_3btn_pdb_GLU_PLP_2.dlg	GLU	-5.47	90	-5.45	8	-3.95	90	-2.54	8	-4.33	-4.56	-3.29	-2.48	2	34
A2AIG8-1_64_482_1m4n.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.5	15	-8.24	77	-6.2	15	-6.58	77	-8.36	-7.54	-6.07	-5.9	4	30
P61922-2_39_444_4y0h.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-11.67	61	-11.64	89	-4.95	61	-5.55	89	-10.87	-10.64	-5.08	-5.14	2	68
Q6P6M7_23_466_3bca_pdb_GLU_PLP_1.dlg	GLU	-15.48	54	-15.25	40	-10.03	54	-8.16	40	-14.52	-13.89	-9.61	-7.79	2	47
O35423-1_23_412_3kgw.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.35	76	-10.35	14	-5.12	76	-5.54	14	-8.92	-9.11	-4.19	-5.11	2	33
Q91WT9-1_39_559_4l28.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-8.71	33	-7.25	93	-5.34	33	-7.13	93	-5.97	-4.37	-4.39	-5.14	3	25
Q9WUB3_11_836_2pyd.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-12.14	93	-12.14	93	-6.38	93	-6.38	93	-11.02	-11.02	-5.87	-5.87	1	40
Q71RI9-2_7_416_5veq.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-15.02	74	-15.02	74	-7.69	74	-7.69	74	-13.69	-13.69	-7.08	-7.08	1	53
Q71RI9-1_42_451_5veq.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-15.05	65	-15.05	65	-7.3	65	-7.3	65	-13.52	-13.52	-6.89	-6.89	1	63
Q6P6M7_23_467_3bcb_pdb_GLU_PLP_2.dlg	GLU	-14.87	49	-14.75	74	-8.17	49	-7.43	74	-13.5	-13.63	-7.45	-7.51	2	21
Q80WP8-1_59_550_6enz.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.26	67	-9.92	46	-6.21	67	-5.77	46	-9.01	-8.94	-5.28	-5.39	2	35
Q8VBT2_1_325_1pwh.2.A_swissmodel_GLU_PLP_1.dlg	GLU	-13.86	19	-11.35	10	-7.39	19	-6.11	10	-11.08	-10.11	-6.45	-5.69	2	69
Q80WP8-1_64_549_5hsj.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.54	11	-9.48	5	-4.42	11	-5.33	5	-8.9	-8.69	-4.36	-4.82	2	41
O35423-2_1_390_3kgw.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.72	60	-9.98	33	-5.02	60	-5.13	33	-9.24	-8.99	-4.29	-4.94	4	34
Q91WT9-2_40_543_4pcu.1.B_swissmodel_GLU_PLP_2.dlg	GLU	-8.09	18	-8.09	18	-6.55	18	-6.55	18	-5.87	-5.87	-5.84	-5.84	1	33
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.68	70	-9.19	50	-5.13	70	-4.08	50	-9.12	-8.29	-4.95	-4.01	6	28
P48318_92_593_2okj.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.98	63	-9.26	93	-4.94	63	-5.95	93	-8.77	-8.29	-5.16	-5.54	3	79
