dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
P06737_1_847_1l7x_pdb_TYR_PLP_3.dlg	TYR	-12.72	18	-11.44	75	-6.69	18	-7.06	75	-12.21	-10.53	-6.76	-6.78	5	18
P11216_22_840_5iko.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-12.91	77	-12.08	97	-6.67	77	-6.82	97	-11.73	-11.51	-6.63	-6.64	2	28
Q8TBG4_7_438_4ysn.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-7.46	10	-7.46	10	-4.79	10	-4.79	10	-4.0	-4.0	-2.91	-2.91	1	38
O15382_28_392_5bwx_pdb_TYR_PLP_1.dlg	TYR	-14.2	4	-14.2	4	-7.02	4	-7.02	4	-12.9	-12.9	-6.15	-6.15	1	53
O15382_28_392_5cr5_pdb_TYR_PLP_1.dlg	TYR	-14.26	21	-14.26	21	-6.27	21	-6.27	21	-12.71	-12.71	-5.71	-5.71	1	53
Q9GZT4_1_340_3l6b_pdb_TYR_PLP_1.dlg	TYR	-11.97	33	-11.97	33	-6.54	33	-6.54	33	-9.85	-9.85	-6.09	-6.09	1	36
Q9Y697_67_457_5kz5_pdb_TYR_PLP_7.dlg
P21549_1_392_1h0c_pdb_TYR_PLP_1.dlg	TYR	-11.07	86	-11.07	86	-6.07	86	-6.07	86	-9.15	-9.15	-6.24	-6.24	1	24
P20711_1_383_1js6.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-10.3	43	-9.75	11	-7.17	43	-7.51	11	-9.66	-9.02	-6.34	-6.77	3	21
Q9HD40_1_501_4zdp_pdb_TYR_PLP_3.dlg	TYR	-12.57	21	-12.57	21	-6.06	21	-6.06	21	-11.47	-11.47	-5.68	-5.68	1	28
P21549_1_392_4cbs_pdb_TYR_PLP_1.dlg	TYR	-9.37	11	-9.37	11	-5.66	11	-5.66	11	-5.18	-5.18	-4.24	-4.24	1	28
P06737_24_832_3cem_pdb_TYR_PLP_1.dlg	TYR	-13.23	88	-13.23	88	-6.86	88	-6.86	88	-12.36	-12.36	-6.54	-6.54	1	22
