dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-9.01	6	-8.45	51	-5.63	6	-6.12	51	-9.01	-7.7	-5.63	-5.65	2	8
O35423-1_27_412_3kgx_pdb_KYNU_PLP_1.dlg	KYN	-12.37	3	-12.37	3	-4.2	3	-4.2	3	-10.83	-10.83	-4.31	-4.31	1	15
P97363_115_554_5txr.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-13.05	72	-13.05	72	-2.04	72	-2.04	72	-10.22	-10.22	-2.06	-2.06	1	47
Q80WP8-1_64_549_5hsj.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-12.38	79	-12.16	31	-6.31	79	-5.75	31	-11.39	-11.24	-5.88	-5.79	3	18
O35855_29_393_1ekp.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-11.83	64	-11.83	64	-5.2	64	-5.2	64	-10.97	-10.97	-5.68	-5.68	1	20
Q3UX83-1_157_576_1m4n.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-12.03	35	-11.38	94	-6.87	35	-6.66	94	-11.74	-10.76	-6.55	-5.58	7	16
Q91WT9-1_39_559_4l28.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-7.75	55	-4.83	93	-3.2	55	-3.78	93	-3.78	-0.68	-2.95	-1.84	5	25
P48318_92_593_2okj.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-12.56	10	-10.78	67	-6.11	10	-6.31	67	-9.54	-9.41	-4.73	-5.87	5	24
Q3UNZ2_26_422_1d7k.1.B_swissmodel_KYNU_PLP_2.dlg	KYN	-11.85	14	-11.85	14	-5.55	14	-5.55	14	-10.09	-10.09	-4.84	-4.84	1	15
Q91WT9-1_39_559_4l28.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-7.75	59	-3.52	71	-4.53	59	-3.02	71	-5.71	-0.63	-3.53	-1.98	3	35
Q8QZR1_64_442_3pdx_pdb_KYNU_PLP_1.dlg	KYN	-11.2	46	-11.2	46	-5.25	46	-5.25	46	-9.98	-9.98	-5.28	-5.28	1	24
Q8QZR1_64_442_3pdx.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-11.25	43	-11.25	43	-5.16	43	-5.16	43	-9.72	-9.72	-5.1	-5.1	1	27
Q91WT9-2_40_543_4pcu.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-8.23	24	-3.38	50	-5.62	24	-3.14	50	-3.31	-0.55	-3.33	-1.24	7	24
Q9Z2Y8_12_248_1b54.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-11.04	44	-10.78	97	-5.33	44	-4.12	97	-9.91	-9.61	-5.52	-3.25	3	23
P05202_30_430_3hlm_pdb_KYNU_PLP_1.dlg	KYN	-14.49	28	-14.26	66	-6.06	28	-5.6	66	-13.3	-13.16	-5.82	-5.52	2	25
O35423-2_1_390_3kgw.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-11.4	50	-11.4	50	-6.2	50	-6.2	50	-9.43	-9.43	-6.59	-6.59	1	31
P50431_1_478_1eji_pdb_KYNU_PLP_4.dlg	KYN	-12.95	3	-12.95	3	-7.43	3	-7.43	3	-10.96	-10.96	-7.04	-7.04	1	25
O35423-1_27_412_3kgx_pdb_KYNU_PLP_2.dlg	KYN	-13.25	45	-13.25	45	-7.14	45	-7.14	45	-11.21	-11.21	-6.47	-6.47	1	23
Q80WP8-1_64_549_5hsj.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-11.88	42	-11.75	11	-6.01	42	-5.02	11	-10.98	-10.72	-5.93	-4.72	2	20
Q80WP8-2_63_477_5hsj.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-10.92	2	-10.92	2	-5.71	2	-5.71	2	-10.44	-10.44	-6.12	-6.12	1	7
Q99K85_17_370_3e77.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-12.44	2	-12.2	16	-6.85	2	-8.82	16	-11.47	-11.41	-6.11	-6.91	2	13
P61922-2_39_444_4y0h.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-12.33	86	-12.21	95	-7.82	86	-5.76	95	-11.53	-10.56	-7.55	-5.08	2	59
Q71RI9-1_42_451_5vep_pdb_KYNU_PLP_3.dlg	KYN	-13.46	3	-12.04	49	-6.77	3	-6.49	49	-11.53	-10.45	-6.73	-6.43	5	14
Q91WT9-1_40_557_4pcu.1.B_swissmodel_KYNU_PLP_1.dlg	KYN	-11.95	40	-11.3	61	-3.5	40	-4.35	61	-9.54	-9.64	-3.22	-3.41	2	17
Q71RI9-2_7_416_5veq.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-16.15	80	-16.15	80	-6.77	80	-6.77	80	-14.76	-14.76	-7.09	-7.09	1	48
P29758_38_439_2can.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-10.72	26	-10.72	26	-4.44	26	-4.44	26	-8.67	-8.67	-4.9	-4.9	1	32
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-14.57	40	-13.35	2	-8.21	40	-4.69	2	-14.57	-12.53	-8.21	-4.57	7	18
P05202_32_430_1ama.1.A_swissmodel_KYNU_PLP_1.dlg	KYN	-12.49	54	-11.98	13	-5.92	54	-5.6	13	-9.19	-7.83	-5.57	-2.7	2	35
Q71RI9-1_42_451_5veq_pdb_KYNU_PLP_1.dlg	KYN	-17.8	24	-17.8	24	-8.84	24	-8.84	24	-16.22	-16.22	-7.43	-7.43	1	42
Q71RI9-1_42_451_3e2y_pdb_KYNU_PLP_1.dlg	KYN	-17.11	45	-17.11	45	-7.47	45	-7.47	45	-15.61	-15.61	-6.98	-6.98	1	28
A2AIG8-1_37_482_4n0b.2.B_swissmodel_KYNU_PLP_2.dlg	KYN	-12.86	32	-11.96	79	-5.93	32	-5.12	79	-11.62	-10.6	-5.59	-5.38	4	18
P05202_32_430_1ama.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-12.58	65	-12.58	65	-5.27	65	-5.27	65	-8.38	-8.38	-3.45	-3.45	1	42
Q80WP8-2_63_477_5hsj.1.A_swissmodel_KYNU_PLP_2.dlg	KYN	-12.14	88	-11.14	94	-6.76	88	-4.04	94	-11.5	-9.99	-6.32	-4.18	3	17
Q6P6M7_23_467_3bcb.1.A_swissmodel_KYNU_PLP_3.dlg	KYN	-14.24	54	-14.24	54	-6.9	54	-6.9	54	-12.99	-12.99	-6.37	-6.37	1	16
