dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
P32929_10_399_3cog.1.A_swissmodel_CYT_PLP_4.dlg	CYT	-9.13	41	-7.92	73	-4.09	41	-6.84	73	-2.93	-2.21	0.05	-3.53	2	21
P21549_1_392_3r9a_pdb_CYT_PLP_1.dlg	CYT	-13.93	69	-11.61	73	-7.68	69	-6.51	73	-8.13	-7.72	-5.45	-5.55	2	36
P06737_24_832_3ceh_pdb_CYT_PLP_1.dlg	CYT	-13.38	67	-12.97	62	-6.78	67	-6.58	62	-10.99	-10.02	-6.19	-6.13	2	18
Q8N5Z0_1_425_2xh1_pdb_CYT_PLP_2.dlg	CYT	-14.82	11	-14.82	11	-7.01	11	-7.01	11	-13.22	-13.22	-4.82	-4.82	1	25
P20711_1_480_3rbf.1.B_swissmodel_CYT_PLP_1.dlg	CYT	-12.74	46	-12.53	52	-4.96	46	-3.94	52	-12.38	-10.83	-4.62	-3.15	2	6
O15382_28_392_5bwx_pdb_CYT_PLP_1.dlg	CYT	-16.25	42	-16.25	42	-8.1	42	-8.1	42	-13.91	-13.91	-7.4	-7.4	1	16
P21549_6_392_3r9a.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.23	21	-11.89	5	-10.28	21	-5.26	5	-8.26	-7.42	-4.67	-5.59	3	39
Q8N5Z0_1_425_4ge4_pdb_CYT_PLP_2.dlg	CYT	-17.08	41	-17.08	41	-6.39	41	-6.39	41	-14.7	-14.7	-6.01	-6.01	1	28
Q9Y697_67_457_5kz5_pdb_CYT_PLP_8.dlg
P17735_41_444_3dyd_pdb_CYT_PLP_2.dlg	CYT	-12.0	81	-10.14	49	-2.86	81	-2.03	49	-11.0	-9.45	-3.14	-2.43	15	12
O15382_28_392_5bww_pdb_CYT_PLP_2.dlg	CYT	-15.05	28	-15.05	28	-5.77	28	-5.77	28	-13.16	-13.16	-6.69	-6.69	1	14
O95470_111_553_4q6r.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.76	91	-13.76	91	-8.86	91	-8.86	91	-12.29	-12.29	-8.08	-8.08	1	29
P20711_1_480_3rbl_pdb_CYT_PLP_1.dlg	CYT	-12.83	59	-12.17	64	-4.26	59	-4.89	64	-11.7	-11.16	-3.79	-4.27	3	18
O15382_28_392_2hdk_pdb_CYT_PLP_2.dlg	CYT	-14.92	67	-14.51	13	-8.51	67	-6.31	13	-14.24	-13.42	-7.82	-5.72	3	13
P21549_1_392_4cbr_pdb_CYT_PLP_2.dlg	CYT	-12.16	38	-12.16	38	-5.87	38	-5.87	38	-7.8	-7.8	-4.95	-4.95	1	43
P34897_17_504_3ou5_pdb_CYT_PLP_2.dlg	CYT	-11.38	52	-10.46	4	-3.39	52	-3.49	4	-10.89	-9.36	-3.12	-3.08	7	6
Q96I15_8_445_3gzd_pdb_CYT_PLP_1.dlg	CYT	-11.56	76	-11.56	76	-8.32	76	-8.32	76	-8.85	-8.85	-6.44	-6.44	1	37
Q96QU6_63_482_1ynu.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-14.76	4	-12.48	18	-6.35	4	-7.6	18	-12.51	-11.1	-5.2	-5.91	2	27
P06737_2_847_3ddw_pdb_CYT_PLP_1.dlg	CYT	-13.62	49	-12.3	15	-6.1	49	-9.25	15	-11.33	-10.43	-5.54	-7.6	7	18
Q9HD40_1_501_4zdo_pdb_CYT_PLP_2.dlg	CYT	-15.25	88	-15.25	88	-7.4	88	-7.4	88	-13.81	-13.81	-6.48	-6.48	1	9
P06737_1_847_1l5q_pdb_CYT_PLP_3.dlg	CYT	-13.54	67	-13.32	88	-7.22	67	-8.97	88	-12.2	-11.34	-5.95	-8.01	5	23
O15382_28_392_2hgw_pdb_CYT_PLP_1.dlg	CYT	-15.69	82	-15.53	2	-8.13	82	-6.55	2	-13.72	-13.17	-8.04	-6.25	2	23
P21549_1_392_4cbs_pdb_CYT_PLP_2.dlg	CYT	-11.77	20	-11.77	20	-6.44	20	-6.44	20	-6.68	-6.68	-5.52	-5.52	1	48
Q9GZT4_1_340_3l6b_pdb_CYT_PLP_1.dlg	CYT	-13.34	73	-12.85	83	-7.11	73	-7.67	83	-10.66	-9.48	-6.73	-6.09	3	15
Q16773_1_422_1w7m_pdb_CYT_PLP_1.dlg	CYT	-14.98	24	-14.98	24	-6.37	24	-6.37	24	-12.17	-12.17	-5.1	-5.1	1	51
Q9Y600_1_493_2jis_pdb_CYT_PLP_2.dlg	CYT	-14.29	6	-14.29	6	-6.4	6	-6.4	6	-12.34	-12.34	-5.08	-5.08	1	14
O15270_145_538_1fc4.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-3.67	75	-2.14	57	-6.56	75	-1.92	57	-3.67	3.57	-6.56	-1.05	6	9
Q8N5Z0_2_425_2vgz_pdb_CYT_PLP_2.dlg	CYT	-15.69	70	-14.88	26	-4.11	70	-4.16	26	-14.77	-12.89	-4.48	-5.45	3	18
Q16773_1_422_4wp0_pdb_CYT_PLP_2.dlg	CYT	-13.89	12	-13.89	12	-5.86	12	-5.86	12	-11.81	-11.81	-5.23	-5.23	1	60
Q16773_1_422_4wlh_pdb_CYT_PLP_2.dlg	CYT	-14.3	41	-14.3	41	-4.14	41	-4.14	41	-11.59	-11.59	-4.47	-4.47	1	44
O15382_28_392_5i5s_pdb_CYT_PLP_2.dlg	CYT	-16.91	39	-16.91	39	-6.69	39	-6.69	39	-13.48	-13.48	-6.32	-6.32	1	11
