KYN	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_KYNU_PLP_1.dlg	-9.05	46	-7.74	81	-6.76	46	-3.5	81	-4.32	79	-3.53	-6.76	46	10	5
O35423-1_27_412_3kgx_pdb_KYNU_PLP_1.dlg	-12.09	51	-11.59	41	-4.69	51	-4.26	41	-5.08	98	-4.44	-7.6	4	2	13
P97363_115_554_5txr.1.A_swissmodel_KYNU_PLP_1.dlg	-13.5	97	-12.97	32	-2.28	97	-2.49	32	-2.94	46	-2.0	-3.14	99	2	35
Q80WP8-1_64_549_5hsj.1.A_swissmodel_KYNU_PLP_1.dlg	-12.04	47	-12.04	47	-5.71	47	-5.71	47	-6.32	34	-5.8	-7.72	76	1	15
O35855_29_393_1ekp.1.A_swissmodel_KYNU_PLP_2.dlg	-12.79	95	-12.1	90	-6.24	95	-5.65	90	-5.85	71	-5.2	-7.09	15	2	21
Q3UX83-1_157_576_1m4n.1.A_swissmodel_KYNU_PLP_2.dlg	-12.05	91	-12.05	91	-4.78	91	-4.78	91	-5.38	90	-4.54	-7.4	89	1	12
Q91WT9-1_39_559_4l28.1.A_swissmodel_KYNU_PLP_2.dlg	-8.38	4	-5.02	27	-5.17	4	-5.41	27	-5.41	27	-1.96	-6.84	71	3	20
P48318_92_593_2okj.1.A_swissmodel_KYNU_PLP_2.dlg	-12.89	49	-10.37	14	-6.07	49	-6.61	14	-6.69	41	-5.79	-7.33	81	8	21
Q3UNZ2_26_422_1d7k.1.B_swissmodel_KYNU_PLP_2.dlg	-11.94	79	-11.13	10	-5.32	79	-5.09	10	-5.28	8	-4.28	-6.58	62	2	23
Q91WT9-1_39_559_4l28.1.A_swissmodel_KYNU_PLP_1.dlg	-8.01	56	-3.41	7	-4.79	56	-3.55	7	-3.55	7	-1.69	-5.26	31	7	19
Q8QZR1_64_442_3pdx_pdb_KYNU_PLP_1.dlg	-11.36	27	-11.12	65	-5.51	27	-5.52	65	-5.68	79	-5.22	-7.56	52	2	26
Q8QZR1_64_442_3pdx.1.A_swissmodel_KYNU_PLP_1.dlg	-11.76	50	-11.76	50	-5.3	50	-5.3	50	-5.87	22	-5.14	-7.97	39	1	29
Q91WT9-2_40_543_4pcu.1.A_swissmodel_KYNU_PLP_1.dlg	-6.02	75	-4.51	24	-3.74	75	-3.05	24	-4.0	20	-1.66	-5.46	35	4	25
Q9Z2Y8_12_248_1b54.1.A_swissmodel_KYNU_PLP_1.dlg	-11.62	40	-10.38	81	-6.16	40	-2.99	81	-4.16	55	-3.04	-7.06	86	6	17
P05202_30_430_3hlm_pdb_KYNU_PLP_1.dlg	-15.2	78	-13.93	90	-5.59	78	-5.47	90	-6.16	21	-5.34	-8.73	3	2	13
O35423-2_1_390_3kgw.1.A_swissmodel_KYNU_PLP_2.dlg	-12.32	9	-10.85	50	-6.44	9	-7.4	50	-7.47	36	-6.55	-7.47	36	3	39
P50431_1_478_1eji_pdb_KYNU_PLP_4.dlg
O35423-1_27_412_3kgx_pdb_KYNU_PLP_2.dlg	-13.08	87	-13.08	87	-8.1	87	-8.1	87	-8.1	87	-6.64	-8.26	41	1	22
Q80WP8-1_64_549_5hsj.1.A_swissmodel_KYNU_PLP_2.dlg	-12.17	80	-11.97	84	-5.65	80	-5.32	84	-6.59	99	-4.93	-7.09	75	2	21
Q80WP8-2_63_477_5hsj.1.A_swissmodel_KYNU_PLP_1.dlg	-11.61	73	-10.45	46	-6.67	73	-5.21	46	-5.23	58	-4.85	-7.2	54	6	10
Q99K85_17_370_3e77.1.A_swissmodel_KYNU_PLP_2.dlg	-12.76	94	-12.58	88	-5.85	94	-8.07	88	-8.24	6	-6.98	-8.76	84	2	16
P61922-2_39_444_4y0h.1.A_swissmodel_KYNU_PLP_1.dlg	-13.06	27	-12.29	98	-7.16	27	-4.76	98	-6.26	48	-5.03	-7.71	51	2	60
Q71RI9-1_42_451_5vep_pdb_KYNU_PLP_3.dlg	-13.97	9	-13.97	9	-7.29	9	-7.29	9	-7.29	9	-6.04	-8.14	80	1	10
Q91WT9-1_40_557_4pcu.1.B_swissmodel_KYNU_PLP_1.dlg	-11.7	15	-11.54	67	-3.55	15	-5.11	67	-5.11	67	-4.0	-7.62	38	2	12
Q71RI9-2_7_416_5veq.1.A_swissmodel_KYNU_PLP_2.dlg	-16.61	98	-16.61	98	-8.42	98	-8.42	98	-8.93	79	-7.2	-9.14	30	1	54
P29758_38_439_2can.1.A_swissmodel_KYNU_PLP_2.dlg	-10.53	9	-10.53	9	-5.01	9	-5.01	9	-5.68	5	-5.04	-7.34	52	1	36
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_KYNU_PLP_2.dlg	-15.23	47	-14.0	16	-8.02	47	-5.58	16	-7.93	98	-5.32	-8.72	73	6	15
P05202_32_430_1ama.1.A_swissmodel_KYNU_PLP_1.dlg	-11.89	28	-11.89	28	-5.44	28	-5.44	28	-5.65	67	-3.01	-8.79	79	1	38
Q71RI9-1_42_451_5veq_pdb_KYNU_PLP_1.dlg	-17.84	31	-17.84	31	-7.68	31	-7.68	31	-8.85	58	-7.57	-8.87	96	1	31
Q71RI9-1_42_451_3e2y_pdb_KYNU_PLP_1.dlg	-16.89	92	-16.89	92	-7.64	92	-7.64	92	-8.12	10	-6.91	-9.0	73	1	38
A2AIG8-1_37_482_4n0b.2.B_swissmodel_KYNU_PLP_2.dlg	-12.73	36	-11.92	89	-6.11	36	-5.39	89	-6.15	24	-5.65	-7.82	17	4	15
P05202_32_430_1ama.1.A_swissmodel_KYNU_PLP_2.dlg	-12.44	10	-11.51	59	-6.37	10	-5.62	59	-5.62	59	-2.74	-6.94	45	2	30
