HIS	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
Q6P6M7_23_466_3bca_pdb_HIS_PLP_3.dlg	-14.22	6	-14.22	6	-5.94	6	-5.94	6	-6.94	59	-5.58	-8.09	34	1	61
Q9WUB3_11_836_2pyd.1.A_swissmodel_HIS_PLP_1.dlg	-11.25	10	-10.44	74	-4.7	10	-5.68	74	-6.54	54	-5.12	-6.54	54	3	40
Q71RI9-1_42_451_3e2z_pdb_HIS_PLP_1.dlg	-13.42	28	-13.42	28	-6.89	28	-6.89	28	-7.5	57	-6.84	-7.5	57	1	58
Q91W43_57_1010_6i34.1.A_swissmodel_HIS_PLP_1.dlg	-8.25	48	-6.52	96	-2.12	48	-2.94	96	-4.09	84	-3.08	-4.46	65	6	24
Q8BTY1_4_421_1w7m.1.A_swissmodel_HIS_PLP_1.dlg	-15.0	21	-15.0	21	-5.98	21	-5.98	21	-6.29	81	-5.82	-6.87	72	1	89
Q91WT9-1_39_559_4l28.1.A_swissmodel_HIS_PLP_1.dlg	-7.61	99	-7.61	99	-3.1	99	-3.1	99	-4.19	65	-2.84	-6.47	32	1	27
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HIS_PLP_1.dlg	-7.48	41	-7.48	41	-4.4	41	-4.4	41	-4.4	41	-3.79	-4.4	41	1	20
O35423-1_27_412_3kgw_pdb_HIS_PLP_2.dlg	-11.28	87	-9.56	59	-4.78	87	-5.34	59	-6.92	28	-5.45	-6.92	28	6	26
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_1.dlg	-13.64	97	-13.55	28	-6.08	97	-5.65	28	-5.87	80	-5.36	-6.29	62	2	30
Q6P6M7_23_467_3bcb.1.A_swissmodel_HIS_PLP_2.dlg	-13.74	71	-13.71	23	-6.26	71	-5.59	23	-5.83	29	-5.27	-6.38	7	3	24
P23738_17_484_4e1o.1.A_swissmodel_HIS_PLP_2.dlg	-13.04	22	-13.04	22	-5.23	22	-5.23	22	-5.72	73	-5.28	-5.72	73	1	57
P08680_143_578_6hrh.1.B_swissmodel_HIS_PLP_2.dlg	-12.7	44	-12.7	44	-4.73	44	-4.73	44	-5.76	76	-4.59	-5.76	76	1	75
O35423-1_23_412_3kgw.1.A_swissmodel_HIS_PLP_1.dlg	-10.57	28	-10.5	6	-3.01	28	-3.08	6	-3.78	65	-3.11	-5.93	16	2	30
