dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.05	42	-8.95	41	-5.13	42	-5.52	41	-6.25	25	-5.68	-6.47	62	2	16
Q8QZR1_52_442_4ge9.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.22	13	-10.22	13	-6.07	13	-6.07	13	-6.18	11	-5.34	-6.36	63	1	56
O88533_1_467_1js6.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.29	47	-9.29	47	-5.67	47	-5.67	47	-6.07	31	-5.08	-6.07	31	1	39
P61922-1_39_499_4zsy.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-12.75	7	-12.75	7	-6.62	7	-6.62	7	-7.2	35	-6.44	-7.2	35	1	67
Q8VBT2_5_317_2o2j.1.B_swissmodel_GLU_PLP_1.dlg	GLU	-9.17	12	-9.17	12	-5.45	12	-5.45	12	-5.45	12	-4.93	-6.22	88	1	23
O35423-2_1_390_3kgw.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-11.48	37	-10.68	77	-5.65	37	-5.58	77	-5.58	77	-4.96	-7.63	89	2	33
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_3.dlg	GLU	-9.53	93	-9.53	93	-4.5	93	-4.5	93	-5.69	80	-4.86	-6.67	6	1	53
Q8QZR1_64_442_3pdx_pdb_GLU_PLP_2.dlg	GLU	-9.52	14	-9.39	88	-6.71	14	-6.08	88	-6.19	17	-5.33	-6.71	14	3	44
Q71RI9-1_42_451_5veq_pdb_GLU_PLP_4.dlg	GLU	-16.57	61	-16.57	61	-7.11	61	-7.11	61	-7.17	100	-6.38	-7.9	6	1	74
O35484_8_435_3btn_pdb_GLU_PLP_2.dlg	GLU	-5.47	90	-5.45	8	-3.95	90	-2.54	8	-3.11	42	-2.48	-4.9	83	2	34
A2AIG8-1_64_482_1m4n.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.5	15	-8.24	77	-6.2	15	-6.58	77	-7.02	24	-5.9	-7.42	50	4	30
P61922-2_39_444_4y0h.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-11.67	61	-11.64	89	-4.95	61	-5.55	89	-5.96	52	-5.14	-6.99	1	2	68
Q6P6M7_23_466_3bca_pdb_GLU_PLP_1.dlg	GLU	-15.48	54	-15.25	40	-10.03	54	-8.16	40	-9.16	20	-7.79	-10.49	28	2	47
O35423-1_23_412_3kgw.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.35	76	-10.35	14	-5.12	76	-5.54	14	-6.82	43	-5.11	-7.19	80	2	33
Q91WT9-1_39_559_4l28.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-8.71	33	-7.25	93	-5.34	33	-7.13	93	-7.13	93	-5.14	-7.22	49	3	25
Q9WUB3_11_836_2pyd.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-12.14	93	-12.14	93	-6.38	93	-6.38	93	-6.63	44	-5.87	-6.72	40	1	40
Q71RI9-2_7_416_5veq.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-15.02	74	-15.02	74	-7.69	74	-7.69	74	-7.99	6	-7.08	-8.38	21	1	53
Q71RI9-1_42_451_5veq.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-15.05	65	-15.05	65	-7.3	65	-7.3	65	-7.93	56	-6.89	-8.56	54	1	63
Q6P6M7_23_467_3bcb_pdb_GLU_PLP_2.dlg	GLU	-14.87	49	-14.75	74	-8.17	49	-7.43	74	-8.38	60	-7.51	-9.54	13	2	21
Q80WP8-1_59_550_6enz.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.26	67	-9.92	46	-6.21	67	-5.77	46	-6.03	57	-5.39	-6.44	59	2	35
Q8VBT2_1_325_1pwh.2.A_swissmodel_GLU_PLP_1.dlg	GLU	-13.86	19	-11.35	10	-7.39	19	-6.11	10	-6.71	72	-5.69	-7.45	58	2	69
Q80WP8-1_64_549_5hsj.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.54	11	-9.48	5	-4.42	11	-5.33	5	-5.84	7	-4.82	-6.12	33	2	41
O35423-2_1_390_3kgw.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.72	60	-9.98	33	-5.02	60	-5.13	33	-5.57	74	-4.94	-7.48	59	4	34
Q91WT9-2_40_543_4pcu.1.B_swissmodel_GLU_PLP_2.dlg	GLU	-8.09	18	-8.09	18	-6.55	18	-6.55	18	-7.6	37	-5.84	-7.6	37	1	33
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.68	70	-9.19	50	-5.13	70	-4.08	50	-4.58	24	-4.01	-6.92	37	6	28
P48318_92_593_2okj.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.98	63	-9.26	93	-4.94	63	-5.95	93	-6.3	37	-5.54	-6.3	37	3	79
Q14CH1_35_495_5j8q.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-8.85	83	-8.85	83	-5.95	83	-5.95	83	-6.17	73	-5.62	-6.17	73	1	28
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_4.dlg	GLU	-6.58	61	-6.58	61	-3.86	61	-3.86	61	-3.86	61	-2.88	-4.17	51	1	51
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-5.42	51	-5.16	75	-3.72	51	-3.54	75	-4.49	2	-3.4	-4.49	2	2	29
O35484_8_435_3btn_pdb_GLU_PLP_1.dlg	GLU	-6.99	96	-6.62	62	-3.89	96	-2.31	62	-3.47	98	-2.63	-4.54	10	5	25
Q8BG54_108_530_6hrh.1.B_swissmodel_GLU_PLP_1.dlg	GLU	-11.12	3	-11.12	3	-4.95	3	-4.95	3	-5.29	77	-4.24	-5.39	29	1	76
P24288_21_385_2abj.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-9.73	57	-8.67	91	-5.02	57	-4.64	91	-5.56	92	-4.79	-6.98	98	2	34
Q3UEG6_52_507_4atp.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-9.28	78	-9.28	78	-5.47	78	-5.47	78	-6.16	12	-5.21	-7.21	58	1	53
Q6P6M7_23_466_3bca_pdb_GLU_PLP_3.dlg	GLU	-14.81	16	-14.81	16	-8.28	16	-8.28	16	-8.32	24	-7.67	-10.39	94	1	57
A2AIG8-1_37_482_4n0b.2.B_swissmodel_GLU_PLP_1.dlg	GLU	-10.91	91	-10.64	15	-5.66	91	-6.38	15	-6.46	54	-5.8	-6.92	45	2	15
Q8BTY1_4_421_1w7m.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-15.06	27	-15.06	27	-7.13	27	-7.13	27	-7.13	27	-6.17	-8.57	100	1	72
P50431_9_478_1rvu.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-8.45	1	-8.45	1	-4.93	1	-4.93	1	-5.41	2	-4.67	-5.41	2	1	69
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-13.6	23	-13.6	23	-8.12	23	-8.12	23	-8.4	59	-7.72	-8.4	59	1	42
P05202_30_430_3pd6_pdb_GLU_PLP_1.dlg	GLU	-14.23	26	-14.23	26	-7.92	26	-7.92	26	-7.97	95	-6.82	-9.48	24	1	43
Q6XPS7_39_398_1lw4.1.D_swissmodel_GLU_PLP_4.dlg	GLU	-9.97	1	-9.97	1	-4.95	1	-4.95	1	-5.22	84	-4.18	-6.34	98	1	67
O35484_11_417_1d7k.1.B_swissmodel_GLU_PLP_2.dlg	GLU	-3.48	20	-3.06	56	-2.68	20	-2.27	56	-2.74	73	-1.86	-3.48	4	2	41
P05202_30_430_3hlm_pdb_GLU_PLP_2.dlg	GLU	-14.97	53	-14.97	53	-6.29	53	-6.29	53	-6.62	48	-6.08	-9.43	94	1	64
