dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
O15382_28_392_1ekp_pdb_GLU_PLP_2.dlg	GLU	-12.83	61	-12.83	61	-6.83	61	-6.83	61	-6.91	5	-5.98	-9.98	67	1	65
P21549_1_392_4cbs_pdb_GLU_PLP_1.dlg	GLU	-13.29	12	-13.29	12	-8.23	12	-8.23	12	-8.23	12	-6.6	-8.23	12	1	64
P04181_36_439_2byj.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-10.73	99	-9.05	51	-6.14	99	-6.23	51	-6.32	66	-5.84	-6.33	46	5	30
P21549_1_392_4i8a_pdb_GLU_PLP_2.dlg	GLU	-7.67	86	-7.67	86	-3.69	86	-3.69	86	-4.9	42	-3.36	-5.9	81	1	42
Q9Y600_1_493_2jis_pdb_GLU_PLP_1.dlg	GLU	-11.08	97	-10.01	66	-6.2	97	-4.59	66	-5.4	82	-4.53	-7.5	43	4	28
Q99259_93_593_2okj.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-11.01	39	-9.52	91	-5.77	39	-6.08	91	-6.47	50	-5.64	-6.75	66	3	55
Q9HD40_1_501_4zdo_pdb_GLU_PLP_4.dlg	GLU	-12.7	94	-11.37	35	-7.44	94	-5.13	35	-5.59	76	-5.07	-9.15	92	5	25
P34897_22_504_4pvf_pdb_GLU_PLP_3.dlg	GLU	-11.61	80	-11.61	80	-7.23	80	-7.23	80	-7.23	80	-6.09	-8.11	30	1	31
Q16773_1_422_4wlh_pdb_GLU_PLP_2.dlg	GLU	-11.39	64	-6.92	36	-5.65	64	-5.53	36	-6.18	24	-5.58	-6.29	42	4	38
Q05329_88_584_2okk_pdb_GLU_PLP_2.dlg	GLU	-12.43	53	-12.43	53	-5.2	53	-5.2	53	-5.38	8	-4.85	-7.74	3	1	38
Q99259_93_594_2okj_pdb_GLU_PLP_1.dlg	GLU	-12.65	12	-11.44	31	-6.7	12	-7.05	31	-7.96	33	-7.08	-7.96	33	4	65
P20132_1_328_4h27_pdb_GLU_PLP_1.dlg	GLU	-9.96	59	-9.71	46	-5.68	59	-6.44	46	-6.44	46	-5.56	-7.82	91	7	17
Q16719_6_460_2hzp.1.A_swissmodel_GLU_PLP_2.dlg	GLU	-7.72	15	-5.53	56	-6.61	15	-3.42	56	-3.58	5	-3.12	-6.61	15	2	18
P34896_8_483_1eji.1.D_swissmodel_GLU_PLP_3.dlg	GLU	-8.84	91	-8.84	91	-5.31	91	-5.31	91	-5.42	88	-4.86	-5.84	82	1	39
P06737_2_847_2ati_pdb_GLU_PLP_1.dlg	GLU	-12.51	77	-12.25	58	-7.07	77	-6.55	58	-7.18	75	-6.08	-7.71	82	2	63
P11216_1_843_5iko_pdb_GLU_PLP_3.dlg	GLU	-12.07	34	-12.07	34	-7.02	34	-7.02	34	-7.03	90	-6.37	-7.03	90	1	67
Q96EN8_35_495_5j8q.1.A_swissmodel_GLU_PLP_1.dlg	GLU	-8.24	11	-8.22	93	-4.8	11	-4.53	93	-4.85	63	-3.76	-5.72	25	3	40
P20711_1_480_3rbl_pdb_GLU_PLP_1.dlg	GLU	-9.93	14	-9.43	45	-5.33	14	-6.68	45	-6.78	65	-6.08	-6.78	65	7	17
P54687_1_386_2cog_pdb_GLU_PLP_1.dlg	GLU	-12.36	38	-12.36	38	-5.22	38	-5.22	38	-5.84	8	-5.13	-8.22	14	1	96
O15382_28_392_1ekv_pdb_GLU_PLP_1.dlg	GLU	-13.31	5	-13.31	5	-7.07	5	-7.07	5	-7.48	73	-6.28	-8.71	10	1	74
P34896_8_483_1eji.1.D_swissmodel_GLU_PLP_1.dlg	GLU	-9.79	71	-9.79	71	-6.04	71	-6.04	71	-6.21	37	-5.63	-6.21	37	1	54
Q9HD40_19_462_4zdl.1.A_swissmodel_GLU_PLP_4.dlg	GLU	-16.7	23	-16.47	48	-8.16	23	-10.51	48	-10.51	48	-9.99	-10.51	48	3	33
Q16773_1_422_4wlj_pdb_GLU_PLP_1.dlg	GLU	-13.56	39	-13.56	39	-6.03	39	-6.03	39	-6.48	74	-5.65	-7.16	3	1	78
P06737_1_847_1em6_pdb_GLU_PLP_2.dlg	GLU	-12.64	3	-12.2	20	-6.34	3	-7.06	20	-7.37	21	-6.25	-7.72	66	2	36
