dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q9BYV1_52_496_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-9.8	26	-9.8	26	-3.92	26	-3.92	26	-8.88	-8.88	-4.17	-4.17	1	21
P54687_21_386_2abj.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-10.81	24	-10.72	35	-5.59	24	-4.42	35	-9.62	-10.02	-5.05	-4.26	2	22
Q16773_1_422_4wlh_pdb_HIS_PLP_2.dlg	HIS	-12.47	51	-9.12	8	-4.29	51	-5.55	8	-11.82	-8.59	-4.26	-5.15	3	41
P32929_10_399_3cog.1.A_swissmodel_HIS_PLP_4.dlg	HIS	-9.93	24	-9.93	24	-5.13	24	-5.13	24	-7.12	-7.12	-3.01	-3.01	1	39
P21549_1_392_3r9a_pdb_HIS_PLP_2.dlg	HIS	-11.32	27	-11.32	27	-4.81	27	-4.81	27	-9.36	-9.36	-4.3	-4.3	1	46
O15382_28_392_5i5y_pdb_HIS_PLP_1.dlg	HIS	-13.71	27	-13.71	27	-5.02	27	-5.02	27	-12.98	-12.98	-4.53	-4.53	1	31
P54687_21_386_2abj_pdb_HIS_PLP_2.dlg	HIS	-12.02	24	-12.02	24	-4.93	24	-4.93	24	-11.24	-11.24	-4.37	-4.37	1	37
P34897_22_504_4pvf_pdb_HIS_PLP_2.dlg	HIS	-10.65	1	-9.43	58	-5.15	1	-3.92	58	-9.51	-8.7	-5.0	-4.36	5	21
O15382_28_392_5bww_pdb_HIS_PLP_2.dlg	HIS	-14.31	73	-13.9	34	-5.14	73	-7.76	34	-13.46	-12.64	-5.14	-7.16	2	36
Q8N5Z0_1_425_4ge4_pdb_HIS_PLP_2.dlg	HIS	-14.81	51	-14.81	51	-5.31	51	-5.31	51	-13.62	-13.62	-5.18	-5.18	1	42
O15382_28_392_1ekv_pdb_HIS_PLP_1.dlg	HIS	-13.51	78	-13.39	13	-4.64	78	-6.59	13	-12.67	-12.2	-5.23	-6.22	2	30
P54687_21_386_2abj_pdb_HIS_PLP_1.dlg	HIS	-13.0	43	-13.0	43	-5.41	43	-5.41	43	-11.94	-11.94	-4.45	-4.45	1	46
O15382_28_392_5i5y_pdb_HIS_PLP_2.dlg	HIS	-13.96	13	-13.96	13	-4.68	13	-4.68	13	-13.25	-13.25	-4.66	-4.66	1	51
O15382_28_392_1kt8_pdb_HIS_PLP_1.dlg	HIS	-14.1	44	-13.65	8	-5.01	44	-5.94	8	-12.93	-12.66	-4.84	-5.07	2	58
P34896_11_480_1bj4_pdb_HIS_PLP_1.dlg	HIS	-10.59	90	-10.59	90	-5.56	90	-5.56	90	-9.11	-9.11	-4.62	-4.62	1	20
Q16773_1_422_4wlh_pdb_HIS_PLP_1.dlg	HIS	-12.56	54	-12.48	72	-4.24	54	-5.03	72	-11.88	-11.57	-4.28	-4.38	2	40
O15270_112_537_4bmk.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-11.54	86	-11.54	86	-4.51	86	-4.51	86	-10.43	-10.43	-4.37	-4.37	1	77
P21549_1_392_4kyo_pdb_HIS_PLP_1.dlg	HIS	-8.47	83	-7.05	93	-3.87	83	-5.34	93	-7.17	-5.87	-4.41	-4.58	5	30
O15382_28_392_5cr5_pdb_HIS_PLP_1.dlg	HIS	-14.18	59	-14.18	59	-4.72	59	-4.72	59	-13.47	-13.47	-4.66	-4.66	1	66
O95470_62_568_4q6r_pdb_HIS_PLP_1.dlg	HIS	-13.45	74	-13.45	74	-5.87	74	-5.87	74	-12.33	-12.33	-5.45	-5.45	1	26
P32929_10_399_3cog.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-8.4	6	-8.08	10	-4.45	6	-3.62	10	-8.25	-7.53	-4.48	-3.24	4	16
P06737_1_847_1l5s_pdb_HIS_PLP_3.dlg	HIS	-12.59	76	-12.59	76	-4.55	76	-4.55	76	-11.59	-11.59	-4.03	-4.03	1	27
O94903_12_248_1ct5.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-9.17	2	-8.43	19	-2.55	2	-3.5	19	-8.49	-7.73	-2.55	-3.45	5	21
P06737_1_847_1l5r_pdb_HIS_PLP_1.dlg	HIS	-12.38	12	-12.35	71	-4.4	12	-5.93	71	-11.52	-11.25	-4.06	-5.05	2	25
P17735_41_444_3dyd.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-11.45	22	-11.45	22	-3.64	22	-3.64	22	-10.61	-10.61	-3.43	-3.43	1	27
Q16773_1_422_1w7l_pdb_HIS_PLP_2.dlg	HIS	-12.59	67	-12.59	67	-4.73	67	-4.73	67	-10.66	-10.66	-4.38	-4.38	1	43
P06737_1_847_1exv_pdb_HIS_PLP_2.dlg	HIS	-13.34	52	-13.34	52	-4.61	52	-4.61	52	-12.44	-12.44	-4.31	-4.31	1	26
Q16773_1_422_1w7n_pdb_HIS_PLP_1.dlg	HIS	-16.08	42	-16.08	42	-5.15	42	-5.15	42	-14.33	-14.33	-4.38	-4.38	1	79
P32929_1_405_3elp_pdb_HIS_PLP_2.dlg	HIS	-9.94	93	-9.22	81	-5.67	93	-4.63	81	-9.39	-8.69	-5.3	-4.41	4	18
Q96EN8_35_495_5j8q.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-9.36	23	-9.36	23	-4.08	23	-4.08	23	-8.8	-8.8	-3.91	-3.91	1	15
Q96I15_8_445_3gzd_pdb_HIS_PLP_1.dlg	HIS	-10.28	8	-10.28	8	-5.12	8	-5.12	8	-8.92	-8.92	-4.75	-4.75	1	55
P06737_2_847_1fc0_pdb_HIS_PLP_1.dlg	HIS	-12.95	2	-12.95	2	-3.78	2	-3.78	2	-12.2	-12.2	-3.68	-3.68	1	18
Q96GA7_11_328_2rkb.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-11.91	98	-9.87	70	-4.88	98	-4.94	70	-11.19	-9.22	-4.78	-4.82	8	13
P00505_32_430_5ax8.2.B_swissmodel_HIS_PLP_1.dlg	HIS	-13.8	74	-13.8	74	-4.51	74	-4.51	74	-13.04	-13.04	-4.21	-4.21	1	49
Q9HD40_1_501_3hl2_pdb_HIS_PLP_4.dlg	HIS	-13.29	31	-13.11	12	-6.62	31	-6.0	12	-12.75	-12.39	-6.31	-5.58	2	27
Q16773_1_422_3fvx_pdb_HIS_PLP_1.dlg	HIS	-13.0	49	-12.35	28	-4.94	49	-4.45	28	-12.21	-10.94	-4.73	-4.83	2	29
Q96GA7_11_328_2rkb_pdb_HIS_PLP_1.dlg	HIS	-12.73	53	-11.72	15	-4.7	53	-4.34	15	-11.44	-10.82	-4.66	-4.15	4	15
P32929_1_402_3cog_pdb_HIS_PLP_4.dlg	HIS	-10.12	59	-10.12	59	-4.93	59	-4.93	59	-7.52	-7.52	-3.53	-3.53	1	37
O15270_177_540_2bwp.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-7.92	36	-7.52	18	-3.51	36	-5.36	18	-6.94	-5.12	-3.69	-3.98	2	32
Q9HD40_1_501_4zdl_pdb_HIS_PLP_1.dlg	HIS	-14.06	66	-14.06	66	-4.89	66	-4.89	66	-12.79	-12.79	-5.06	-5.06	1	55
P0DN79_41_550_4l3v.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-7.48	21	-7.48	21	-3.3	21	-3.3	21	-5.14	-5.14	-1.98	-1.98	1	35
Q9Y697_67_457_5kz5_pdb_HIS_PLP_11.dlg
P34897_43_504_4pvf.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-9.45	60	-8.83	43	-4.13	60	-4.53	43	-8.7	-8.13	-3.37	-4.46	4	27
P06737_1_847_1l5s_pdb_HIS_PLP_4.dlg	HIS	-12.34	85	-11.55	47	-4.2	85	-4.82	47	-11.81	-10.53	-4.02	-4.18	3	29
O15382_28_392_5i5x_pdb_HIS_PLP_1.dlg	HIS	-13.64	13	-13.31	56	-4.87	13	-4.49	56	-13.09	-12.62	-4.96	-4.44	3	22
P54687_1_386_2cog_pdb_HIS_PLP_1.dlg	HIS	-12.43	1	-12.43	1	-5.0	1	-5.0	1	-11.46	-11.46	-4.65	-4.65	1	67
Q9GZT4_3_329_3l6r.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-13.1	37	-13.1	37	-6.07	37	-6.07	37	-11.39	-11.39	-5.54	-5.54	1	58
P21549_1_392_1j04_pdb_HIS_PLP_1.dlg	HIS	-13.36	80	-13.36	80	-6.0	80	-6.0	80	-11.45	-11.45	-5.72	-5.72	1	38
Q9Y697_56_457_5usr.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-9.93	15	-9.93	15	-5.25	15	-5.25	15	-9.04	-9.04	-5.15	-5.15	1	35
Q9Y697_67_457_5kz5_pdb_HIS_PLP_1.dlg
P32929_1_402_3cog_pdb_HIS_PLP_3.dlg	HIS	-9.94	70	-9.94	70	-4.79	70	-4.79	70	-6.73	-6.73	-3.03	-3.03	1	29
Q9HD40_1_501_4zdp_pdb_HIS_PLP_4.dlg	HIS	-13.81	48	-13.81	48	-5.75	48	-5.75	48	-12.65	-12.65	-4.95	-4.95	1	15
Q8IUZ5_10_438_5g4i.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-12.83	99	-12.56	93	-5.0	99	-4.26	93	-11.61	-11.48	-4.51	-4.18	3	20
Q16773_1_422_1w7l_pdb_HIS_PLP_1.dlg	HIS	-12.35	12	-12.35	12	-5.37	12	-5.37	12	-10.69	-10.69	-4.4	-4.4	1	40
Q8N5Z0_1_425_4ge9_pdb_HIS_PLP_1.dlg	HIS	-14.02	31	-14.02	31	-4.35	31	-4.35	31	-13.06	-13.06	-4.64	-4.64	1	42
Q16773_4_422_4wp0.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-13.42	39	-13.42	39	-5.23	39	-5.23	39	-12.03	-12.03	-4.99	-4.99	1	92
O75600_74_419_2x8u.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-10.98	7	-10.98	7	-5.24	7	-5.24	7	-10.24	-10.24	-5.08	-5.08	1	29
Q9Y697_56_457_5usr.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-11.27	18	-10.36	25	-4.68	18	-2.29	25	-11.27	-9.74	-4.68	-2.41	5	20
Q99259_93_593_2okj.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-11.72	55	-11.21	41	-4.41	55	-5.63	41	-10.62	-10.26	-4.53	-5.71	2	18
Q16773_3_421_4ge9.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-10.31	64	-10.31	64	-6.47	64	-6.47	64	-8.69	-8.69	-5.54	-5.54	1	57
Q9HD40_1_501_4zdp_pdb_HIS_PLP_2.dlg	HIS	-13.77	99	-13.14	7	-5.02	99	-4.31	7	-12.68	-12.65	-5.01	-3.68	2	23
P06737_24_832_3ceh_pdb_HIS_PLP_2.dlg	HIS	-11.94	64	-11.44	22	-4.51	64	-5.67	22	-10.6	-10.95	-3.77	-5.32	3	31
O15270_112_537_4bmk.1.A_swissmodel_HIS_PLP_2.dlg	HIS	-12.93	86	-12.93	86	-4.85	86	-4.85	86	-11.55	-11.55	-4.64	-4.64	1	84
P11926_7_427_1d7k_pdb_HIS_PLP_1.dlg	HIS	-10.79	9	-10.38	55	-6.49	9	-3.62	55	-9.56	-9.49	-5.79	-4.48	3	14
P04181_1_439_2oat_pdb_HIS_PLP_1.dlg	HIS	-11.17	96	-11.17	96	-5.19	96	-5.19	96	-10.39	-10.39	-5.53	-5.53	1	25
P21549_1_392_4cbs_pdb_HIS_PLP_2.dlg	HIS	-11.21	82	-11.21	82	-4.73	82	-4.73	82	-8.48	-8.48	-4.39	-4.39	1	56
