dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
P05202_32_430_1ama.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-14.02	81	-12.52	72	-8.3	81	-6.81	72	-7.76	64	-5.89	-11.39	50	4	27
Q71RI9-1_42_451_5veq_pdb_CYT_PLP_1.dlg	CYT	-19.04	7	-19.04	7	-8.28	7	-8.28	7	-9.68	66	-7.68	-11.01	85	1	37
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_1.dlg	CYT	-16.13	81	-14.73	92	-4.95	81	-6.07	92	-7.14	23	-6.0	-9.64	51	8	12
Q71RI9-1_42_451_5ver_pdb_CYT_PLP_2.dlg	CYT	-16.7	87	-16.7	87	-8.27	87	-8.27	87	-9.21	71	-7.5	-9.54	57	1	40
P05201_1_413_5tor.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-14.95	80	-14.95	80	-6.28	80	-6.28	80	-7.05	47	-5.65	-8.58	17	1	15
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.02	2	-11.13	85	-3.86	2	-3.95	85	-4.62	37	-3.67	-5.74	58	2	6
P50431_9_478_1rvu.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.41	8	-11.41	8	-5.39	8	-5.39	8	-7.36	68	-5.65	-7.36	68	1	22
Q6P6M7_23_467_3bcb.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-15.96	66	-14.07	72	-6.08	66	-7.42	72	-8.32	50	-7.56	-9.07	19	7	12
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.11	81	-10.51	99	-5.92	81	-4.34	99	-4.9	80	-3.95	-7.3	12	2	10
P05202_30_430_3pdb_pdb_CYT_PLP_2.dlg	CYT	-16.07	59	-14.15	26	-6.31	59	-5.85	26	-5.85	26	-4.74	-9.3	11	6	16
