TYR	Best Cluster (kcal/mol)	Run	Largest Cluster (kcal/mol)	Run	Best Cluster Res (kcal/mol)	Run	Largest Cluster Res (kcal/mol)	Run	Largest Cluster Res Best (kcal/mol)	Run	Largest Cluster Res Mean (kcal/mol)	bestbest (kcal/mol)	Run	Largest Cluster	Num in Largest Cluster
P06737_1_847_1l7x_pdb_TYR_PLP_3.dlg	-13.39	26	-11.54	69	-6.88	26	-6.33	69	-6.98	90	-6.44	-7.3	11	4	17
P11216_22_840_5iko.1.A_swissmodel_TYR_PLP_1.dlg	-13.28	69	-12.3	25	-6.75	69	-5.92	25	-6.16	14	-5.36	-7.1	65	2	27
Q8TBG4_7_438_4ysn.1.A_swissmodel_TYR_PLP_1.dlg	-7.86	25	-7.5	8	-6.09	25	-4.76	8	-4.82	20	-2.72	-6.09	25	2	34
O15382_28_392_5bwx_pdb_TYR_PLP_1.dlg	-13.99	51	-13.88	34	-6.85	51	-6.79	34	-7.49	87	-6.11	-8.41	85	2	46
O15382_28_392_5cr5_pdb_TYR_PLP_1.dlg	-13.8	71	-13.8	71	-6.17	71	-6.17	71	-6.35	62	-5.72	-9.0	83	1	53
Q9GZT4_1_340_3l6b_pdb_TYR_PLP_1.dlg	-11.79	89	-11.79	89	-6.81	89	-6.81	89	-6.81	89	-5.98	-7.73	4	1	44
Q9Y697_67_457_5kz5_pdb_TYR_PLP_7.dlg
P21549_1_392_1h0c_pdb_TYR_PLP_1.dlg	-10.95	7	-10.79	99	-6.07	7	-6.11	99	-7.19	61	-6.02	-7.23	8	2	31
P20711_1_383_1js6.1.A_swissmodel_TYR_PLP_2.dlg	-10.24	28	-9.39	29	-6.83	28	-4.99	29	-5.49	52	-5.07	-7.44	59	5	20
Q9HD40_1_501_4zdp_pdb_TYR_PLP_3.dlg	-12.8	98	-12.8	98	-5.92	98	-5.92	98	-6.21	28	-5.54	-7.47	48	1	29
P21549_1_392_4cbs_pdb_TYR_PLP_1.dlg	-8.47	12	-8.47	12	-4.66	12	-4.66	12	-5.74	69	-4.01	-6.86	71	1	35
