dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q80WP8-2_63_477_5hsj.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.44	15	-12.07	89	-3.63	15	-2.03	89	-11.31	-11.07	-3.0	-2.32	2	22
Q7TSV6-1_3_399_2cst.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-13.59	43	-13.13	29	-3.65	43	-2.08	29	-12.24	-12.02	-2.99	-1.74	3	18
Q6P6M7_23_466_3bca_pdb_ORN_PLP_3.dlg	ORN	-15.6	85	-15.6	85	-4.09	85	-4.09	85	-14.32	-14.32	-2.95	-2.95	1	31
Q8R0X7_110_553_4q6r.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-14.43	87	-14.18	61	-3.6	87	-4.89	61	-12.01	-12.79	-3.63	-4.15	2	52
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-11.1	64	-11.06	76	-2.64	64	-2.3	76	-10.74	-10.24	-2.52	-2.16	2	12
Q8VCN5_9_398_5tsu.1.C_swissmodel_ORN_PLP_1.dlg	ORN	-12.3	21	-12.3	21	-3.9	21	-3.9	21	-10.91	-10.91	-3.98	-3.98	1	42
Q99K85_17_370_3e77.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.5	80	-13.5	80	-2.14	80	-2.14	80	-12.33	-12.33	-2.28	-2.28	1	39
Q9CXF0_6_460_3e9k.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-11.5	52	-11.34	25	-1.43	52	-2.39	25	-10.25	-10.56	-1.7	-2.62	2	52
P61922-1_39_499_4zsy.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-14.03	41	-14.03	41	-3.73	41	-3.73	41	-12.35	-12.35	-3.53	-3.53	1	35
P29758_38_439_2can.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.96	5	-13.96	5	-4.83	5	-4.83	5	-12.16	-12.16	-4.67	-4.67	1	32
Q71RI9-1_42_451_5vep_pdb_ORN_PLP_2.dlg	ORN	-13.87	52	-13.87	52	-4.33	52	-4.33	52	-12.26	-12.26	-3.59	-3.59	1	31
Q8VBT2_5_317_2o2j.1.B_swissmodel_ORN_PLP_1.dlg	ORN	-11.22	22	-11.2	83	-2.9	22	-1.7	83	-10.46	-10.42	-2.32	-1.87	2	9
Q3UNZ2_26_422_1d7k.1.B_swissmodel_ORN_PLP_1.dlg	ORN	-12.33	58	-12.33	58	-2.85	58	-2.85	58	-11.41	-11.41	-2.58	-2.58	1	15
Q8VC19_199_634_6hrh.1.B_swissmodel_ORN_PLP_1.dlg	ORN	-13.08	56	-13.08	56	-2.94	56	-2.94	56	-10.9	-10.9	-2.46	-2.46	1	41
Q91WT9-2_40_543_4pcu.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-15.01	29	-15.01	29	-4.84	29	-4.84	29	-11.46	-11.46	-3.98	-3.98	1	31
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-10.56	36	-9.53	3	-3.69	36	-3.34	3	-9.19	-8.74	-3.14	-2.71	2	17
Q71RI9-1_42_451_2zjg_pdb_ORN_PLP_1.dlg	ORN	-14.63	44	-14.63	57	-5.52	44	-4.38	57	-13.58	-12.96	-4.96	-4.47	2	53
Q71RI9-1_42_451_3e2y_pdb_ORN_PLP_1.dlg	ORN	-16.5	62	-16.39	83	-3.09	62	-6.12	83	-15.67	-14.56	-3.33	-5.31	2	33
P29758_38_439_2can.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-13.58	41	-13.58	41	-5.18	41	-5.18	41	-12.02	-12.02	-4.67	-4.67	1	38
Q8QZR1_64_442_3pdx_pdb_ORN_PLP_2.dlg	ORN	-12.33	93	-10.79	81	-3.84	93	-3.02	81	-10.89	-10.09	-3.01	-2.79	7	21
Q71RI9-1_42_451_5ver_pdb_ORN_PLP_4.dlg	ORN	-16.56	27	-16.56	27	-4.62	27	-4.62	27	-14.82	-14.82	-4.98	-4.98	1	43
P23738_17_484_4e1o.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-14.62	80	-14.62	80	-3.95	80	-3.95	80	-13.06	-13.06	-4.07	-4.07	1	58
Q71RI9-1_42_451_5ver_pdb_ORN_PLP_2.dlg	ORN	-14.8	65	-13.64	10	-3.28	65	-3.73	10	-13.26	-12.68	-3.61	-4.51	3	19
Q9Z1J3_58_459_6nzu.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-11.82	68	-11.82	68	-1.83	68	-1.83	68	-10.79	-10.79	-1.8	-1.8	1	22
P05202_30_430_3hlm_pdb_ORN_PLP_1.dlg	ORN	-16.68	93	-14.13	64	-4.55	93	-4.1	64	-14.86	-12.42	-3.37	-3.17	2	9
Q6XPS7_39_398_1lw4.1.D_swissmodel_ORN_PLP_4.dlg	ORN	-10.67	76	-9.62	36	-1.96	76	-4.71	36	-8.68	-8.24	-2.05	-3.8	3	55
Q8QZR5_20_495_3tcm.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-12.5	3	-12.5	3	-2.48	3	-2.48	3	-10.81	-10.81	-2.25	-2.25	1	74
Q8VCN5_9_398_5tsu.1.C_swissmodel_ORN_PLP_4.dlg	ORN	-13.65	47	-11.94	100	-4.88	47	-4.35	100	-11.91	-10.53	-4.23	-4.09	4	24
Q91WT9-1_40_557_4pcu.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.69	35	-11.74	60	-2.8	35	-2.57	60	-11.61	-10.07	-3.07	-2.68	3	27
Q6P6M7_23_467_3bc8_pdb_ORN_PLP_2.dlg	ORN	-15.59	46	-15.59	46	-3.75	46	-3.75	46	-14.02	-14.02	-2.94	-2.94	1	52
Q9ET01_24_839_1xoi.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-14.81	84	-14.81	84	-4.5	84	-4.5	84	-13.39	-13.39	-3.78	-3.78	1	77
Q14CH1_35_495_5j8q.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-11.71	27	-11.07	15	-2.77	27	-2.5	15	-10.75	-10.2	-2.3	-2.74	3	36
O35423-1_27_412_3kgw_pdb_ORN_PLP_2.dlg	ORN	-13.54	99	-13.54	99	-4.06	99	-4.06	99	-11.82	-11.82	-3.31	-3.31	1	45
O88986_28_415_1fc4.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-11.07	91	-11.07	91	-2.94	91	-2.94	91	-9.07	-9.07	-3.64	-3.64	1	32
Q9CXF0_6_460_3e9k.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-11.55	23	-11.55	23	-3.86	23	-3.86	23	-10.79	-10.79	-3.19	-3.19	1	28
P61922-2_39_444_4y0h.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.78	11	-13.78	11	-4.0	11	-4.0	11	-12.55	-12.55	-3.7	-3.7	1	35
Q3UEG6_63_509_6fyq.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-10.69	21	-10.5	70	-3.2	21	-3.05	70	-10.12	-9.03	-2.68	-2.82	2	19
Q91WT9-1_39_559_4l28.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-14.58	91	-14.58	91	-5.03	91	-5.03	91	-9.24	-9.24	-3.63	-3.63	1	30
A2AIG8-2_42_459_4n0b.2.B_swissmodel_ORN_PLP_1.dlg	ORN	-12.88	50	-12.5	86	-2.42	50	-2.86	86	-12.03	-11.74	-2.8	-3.04	4	23
A2AIG8-1_64_482_1m4n.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.15	97	-12.79	39	-3.21	97	-3.41	39	-11.51	-11.78	-2.18	-3.18	2	48
P00860_2_418_7odc_pdb_ORN_PLP_2.dlg	ORN	-12.93	92	-12.47	48	-4.95	92	-1.55	48	-12.93	-11.68	-4.95	-1.79	3	12
Q71RI9-1_42_451_5vep_pdb_ORN_PLP_4.dlg	ORN	-14.86	41	-13.96	2	-3.82	41	-4.36	2	-13.38	-12.43	-3.86	-4.14	2	58
Q80WP8-1_59_550_6enz.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-12.09	61	-10.27	28	-2.74	61	-5.65	28	-9.91	-9.72	-2.92	-5.26	7	21
Q3UEG6_52_507_4atp.1.A_swissmodel_ORN_PLP_4.dlg	ORN	-8.94	38	-6.04	68	-2.35	38	-3.83	68	-7.67	-4.12	-2.66	-2.69	4	33
Q3UEG6_52_507_4atp.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-8.94	74	-8.37	86	-5.47	74	-5.99	86	-7.16	-7.05	-4.29	-4.68	2	57
P50431_9_478_1rvu.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-10.19	11	-9.56	19	-3.76	11	-5.08	19	-8.82	-8.75	-3.72	-4.55	2	33
Q8QZR1_52_442_4ge9.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.13	71	-9.26	40	-4.74	71	-4.64	40	-9.28	-7.73	-3.81	-4.26	8	18
Q80WP8-2_59_493_6enz.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-9.81	66	-9.39	68	-4.16	66	-5.49	68	-7.65	-8.12	-3.63	-4.41	3	28
Q8BG54_108_530_6hrh.1.B_swissmodel_ORN_PLP_2.dlg	ORN	-11.45	45	-11.32	35	-2.0	45	-4.44	35	-9.43	-9.25	-1.87	-3.7	2	44
O35423-1_27_412_3kgx_pdb_ORN_PLP_1.dlg	ORN	-12.64	15	-12.19	3	-3.4	15	-4.15	3	-11.98	-11.55	-3.09	-3.74	5	24
Q14CH1_48_490_3a9y.1.B_swissmodel_ORN_PLP_1.dlg	ORN	-7.51	9	-5.44	67	-2.66	9	-4.74	67	-4.19	-4.24	-2.47	-3.69	2	30
P50431_1_478_1eji_pdb_ORN_PLP_4.dlg	ORN	-13.86	23	-12.22	54	-3.98	23	-4.5	54	-12.12	-11.38	-3.58	-4.05	3	20
O35855_29_393_1ekp.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.39	37	-12.39	37	-4.13	37	-4.13	37	-11.27	-11.27	-3.67	-3.67	1	16
Q91W43_57_1010_6i34.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-11.86	97	-10.06	84	-3.99	97	-3.6	84	-10.29	-9.3	-3.86	-3.11	10	24
Q71RI9-1_42_451_3e2y_pdb_ORN_PLP_2.dlg	ORN	-16.9	81	-16.48	17	-4.77	81	-3.64	17	-14.54	-14.99	-4.33	-2.92	2	33
Q71RI9-1_42_451_5ver_pdb_ORN_PLP_3.dlg	ORN	-14.52	84	-14.52	84	-5.03	84	-5.03	84	-13.01	-13.01	-4.49	-4.49	1	20
Q99K85_17_370_3e77.1.A_swissmodel_ORN_PLP_1.dlg	ORN	-14.12	73	-14.12	73	-2.93	73	-2.93	73	-13.06	-13.06	-2.39	-2.39	1	39
Q71RI9-1_42_451_5veq_pdb_ORN_PLP_2.dlg	ORN	-16.24	43	-15.16	58	-3.86	43	-6.04	58	-14.71	-14.01	-3.27	-5.24	2	32
P48318_92_593_2okj.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-13.51	2	-13.51	2	-3.54	2	-3.54	2	-11.44	-11.44	-3.05	-3.05	1	26
Q8QZR5_20_495_3tcm.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-11.64	17	-11.64	17	-3.2	17	-3.2	17	-9.7	-9.7	-2.42	-2.42	1	56
O35484_8_435_3btn_pdb_ORN_PLP_1.dlg	ORN	-10.62	80	-10.03	2	-2.37	80	-2.66	2	-9.86	-9.4	-2.44	-2.6	4	12
Q8BG54_108_530_6hrh.1.B_swissmodel_ORN_PLP_1.dlg	ORN	-12.13	45	-12.13	45	-5.51	45	-5.51	45	-10.28	-10.28	-4.09	-4.09	1	63
P50431_9_478_1rvu.1.A_swissmodel_ORN_PLP_4.dlg	ORN	-10.24	46	-9.75	76	-2.19	46	-5.5	76	-10.24	-8.58	-2.19	-4.6	2	35
Q3UX83-2_102_522_6d0a.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.66	18	-12.01	57	-3.96	18	-1.45	57	-10.72	-10.23	-3.62	-2.88	2	22
Q14CH1_35_495_5j8q.1.A_swissmodel_ORN_PLP_2.dlg	ORN	-12.28	30	-11.92	74	-2.32	30	-3.65	74	-10.69	-10.69	-2.16	-3.32	2	34
