dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q71RI9-2_7_416_5veq.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-15.32	82	-15.32	82	-7.72	82	-7.72	82	-13.55	-13.55	-6.47	-6.47	1	49
P48320_88_584_2okk.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-10.09	41	-8.95	67	-7.44	41	-5.46	67	-9.17	-8.17	-7.17	-5.36	8	14
Q9DBE0_7_493_2jis.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-10.2	75	-9.78	70	-6.55	75	-6.23	70	-10.2	-8.86	-6.55	-6.25	3	21
P48318_92_593_2okj.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-11.56	28	-9.25	75	-5.73	28	-5.8	75	-10.51	-8.52	-5.38	-5.6	9	21
O35484_11_417_1d7k.1.B_swissmodel_TYR_PLP_1.dlg	TYR	-6.26	76	-5.95	87	-4.9	76	-4.42	87	-5.75	-4.91	-5.03	-4.16	3	20
P24288_21_385_2abj.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-10.42	45	-8.25	74	-5.27	45	-4.17	74	-9.86	-7.88	-5.28	-4.12	16	14
Q8BG54_108_530_6hrh.1.B_swissmodel_TYR_PLP_2.dlg	TYR	-10.4	71	-10.4	71	-4.24	71	-4.24	71	-7.61	-7.61	-4.13	-4.13	1	58
Q3UX83-2_102_522_6d0a.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-11.19	62	-10.62	78	-5.37	62	-5.18	78	-10.56	-8.79	-5.46	-3.93	2	17
O88986_28_415_1fc4.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-11.49	85	-11.49	85	-5.93	85	-5.93	85	-8.99	-8.99	-5.38	-5.38	1	61
Q8BWU8_9_436_5g4i.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-13.85	13	-13.2	33	-8.12	13	-7.26	33	-13.11	-12.23	-7.83	-6.63	3	43
O88533_1_467_1js6.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-10.47	49	-10.47	49	-6.77	49	-6.77	49	-9.57	-9.57	-6.27	-6.27	1	32
