dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q91W43_57_1010_6i34.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-8.7	15	-8.7	15	-4.8	15	-4.8	15	-4.96	62	-3.39	-5.05	93	1	26
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.98	46	-10.79	61	-4.71	46	-6.71	61	-6.71	61	-4.85	-6.71	61	3	25
Q80WP8-1_59_550_6enz.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.45	91	-10.19	75	-4.48	91	-5.14	75	-5.19	58	-4.48	-5.66	36	3	16
Q3UX83-1_157_576_1m4n.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-11.19	13	-11.06	68	-4.43	13	-6.12	68	-6.49	54	-5.43	-6.49	54	3	28
O88533_1_467_1js6.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.88	76	-10.27	83	-5.47	76	-4.67	83	-5.07	21	-4.22	-7.13	88	2	12
Q8VCN5_9_398_5tsu.1.C_swissmodel_HTML_PLP_2.dlg	HTL	-12.91	59	-12.91	59	-6.18	59	-6.18	59	-6.56	41	-4.35	-7.43	71	1	55
P50431_1_478_1eji_pdb_HTML_PLP_2.dlg	HTL	-12.86	29	-12.86	29	-5.51	29	-5.51	29	-6.83	87	-5.6	-6.83	87	1	66
Q71RI9-1_42_451_5vep_pdb_HTML_PLP_2.dlg	HTL	-13.48	28	-13.48	28	-7.92	28	-7.92	28	-8.16	20	-7.29	-8.16	20	1	39
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.72	71	-10.18	22	-3.81	71	-4.75	22	-5.58	49	-4.53	-6.66	52	5	16
Q71RI9-1_42_451_5ver_pdb_HTML_PLP_1.dlg	HTL	-15.37	64	-15.37	64	-7.54	64	-7.54	64	-7.73	14	-6.54	-8.24	86	1	32
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-7.49	58	-7.49	58	-5.08	58	-5.08	58	-5.08	58	-3.92	-5.27	39	1	25
Q6P6M7_23_466_3bca_pdb_HTML_PLP_3.dlg	HTL	-13.05	58	-12.03	54	-4.56	58	-2.73	54	-5.29	89	-3.66	-7.74	72	7	20
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-8.49	96	-8.49	96	-3.16	96	-3.16	96	-3.31	29	-2.7	-5.52	65	1	16
Q99K85_17_370_3e77.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-12.31	28	-10.15	85	-4.3	28	-6.11	85	-7.03	97	-6.0	-7.03	97	8	8
O88533_1_467_1js6.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.57	98	-10.36	44	-3.29	98	-3.81	44	-4.18	6	-3.81	-6.14	54	2	36
Q8BTY1_4_421_1w7m.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-14.58	60	-14.58	60	-6.49	60	-6.49	60	-6.77	85	-5.52	-6.77	85	1	85
A2AIG8-2_42_459_4n0b.2.B_swissmodel_HTML_PLP_1.dlg	HTL	-11.71	70	-10.08	59	-5.94	70	-3.62	59	-3.71	58	-3.32	-5.94	70	6	18
Q6P6M7_23_467_3bcb.1.A_swissmodel_HTML_PLP_4.dlg	HTL	-13.82	30	-13.82	30	-5.89	30	-5.89	30	-5.99	60	-5.02	-6.43	36	1	26
Q3UEG6_52_507_4atp.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-8.75	90	-8.75	90	-5.83	90	-5.83	90	-5.98	11	-4.06	-5.98	11	1	53
Q91WT9-1_40_557_4pcu.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.34	82	-9.27	7	-4.34	82	-5.75	7	-5.91	1	-4.93	-6.39	24	3	19
Q71RI9-1_42_451_5veq_pdb_HTML_PLP_3.dlg	HTL	-17.16	53	-17.16	53	-7.22	53	-7.22	53	-7.53	73	-5.85	-7.53	73	1	65
