dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q9DBE0_7_493_2jis.1.A_swissmodel_THR_PLP_1.dlg	THR	-11.37	48	-11.0	74	-3.89	48	-5.01	74	-10.08	-10.03	-3.61	-4.56	2	19
Q6XPS7_39_398_1lw4.1.D_swissmodel_THR_PLP_3.dlg	THR	-8.26	80	-7.33	8	-4.79	80	-3.13	8	-6.59	-5.25	-3.05	-3.22	2	41
P50431_9_478_1rvu.1.A_swissmodel_THR_PLP_2.dlg	THR	-11.01	36	-11.01	36	-4.9	36	-4.9	36	-8.83	-8.83	-4.63	-4.63	1	31
O35423-1_27_412_3kgx_pdb_THR_PLP_2.dlg	THR	-11.62	18	-11.5	65	-4.54	18	-5.18	65	-10.76	-10.38	-4.72	-5.09	2	34
Q71RI9-1_42_451_3e2y_pdb_THR_PLP_2.dlg	THR	-16.33	9	-16.33	9	-5.87	9	-5.87	9	-14.98	-14.98	-5.3	-5.3	1	78
Q8VCN5_9_398_5tsu.1.C_swissmodel_THR_PLP_3.dlg	THR	-12.14	100	-11.39	27	-5.93	100	-4.07	27	-9.64	-9.16	-4.91	-3.99	2	25
Q71RI9-1_42_451_5vep_pdb_THR_PLP_4.dlg	THR	-13.17	88	-13.17	88	-5.41	88	-5.41	88	-12.2	-12.2	-5.2	-5.2	1	38
Q3UEG6_52_507_4atp.1.A_swissmodel_THR_PLP_2.dlg	THR	-7.29	3	-6.61	90	-3.05	3	-3.05	90	-5.47	-4.94	-2.8	-2.86	2	45
Q91W43_57_1010_6i34.1.A_swissmodel_THR_PLP_1.dlg	THR	-7.82	54	-7.82	54	-2.71	54	-2.71	54	-6.05	-6.05	-2.48	-2.48	1	16
Q91WT9-2_40_543_4pcu.1.B_swissmodel_THR_PLP_2.dlg	THR	-10.03	9	-10.03	9	-6.53	9	-6.53	9	-7.65	-7.65	-5.02	-5.02	1	31
Q99K85_17_370_3e77.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.17	55	-10.65	18	-6.13	55	-4.29	18	-11.14	-10.21	-5.6	-4.09	9	10
Q9CZN7-1_43_503_5x3v.1.A_swissmodel_THR_PLP_2.dlg	THR	-6.67	37	-6.67	37	-2.17	37	-2.17	37	-6.02	-6.02	-2.23	-2.23	1	38
Q3UEG6_63_509_6fyq.1.A_swissmodel_THR_PLP_1.dlg	THR	-9.27	11	-8.25	23	-3.36	11	-4.38	23	-8.52	-7.6	-4.16	-4.29	2	38
Q8R238_12_327_2rkb.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.01	38	-12.01	38	-4.46	38	-4.46	38	-10.81	-10.81	-4.58	-4.58	1	16
Q91WT9-1_40_557_4pcu.1.B_swissmodel_THR_PLP_2.dlg	THR	-10.11	34	-10.11	34	-2.89	34	-2.89	34	-9.31	-9.31	-2.82	-2.82	1	75
