dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q7TSV6-1_3_399_2cst.1.A_swissmodel_PLP_1.dlg	PLP	-9.0	53	-8.58	39	-10.46	53	-9.24	39	-9.28	80	-9.15	-10.46	53	3	42
Q9JLI6-2_17_283_3a9x.1.A_swissmodel_PLP_2.dlg	PLP	-6.13	80	-5.79	31	-6.81	80	-6.45	31	-6.76	52	-6.45	-7.3	27	7	19
Q3UNZ2_26_422_1d7k.1.B_swissmodel_PLP_2.dlg	PLP	-7.68	4	-7.23	20	-8.61	4	-8.07	20	-8.35	29	-7.91	-8.72	93	5	24
Q8QZR1_64_442_3pdx.1.A_swissmodel_PLP_2.dlg	PLP	-7.69	91	-7.69	91	-8.43	91	-8.43	91	-8.43	91	-8.2	-8.43	91	1	39
A2AIG8-1_64_482_1m4n.1.A_swissmodel_PLP_1.dlg	PLP	-8.73	10	-8.73	10	-9.6	10	-9.6	10	-9.6	10	-9.06	-9.6	10	1	26
Q71RI9-1_42_451_5veq.1.A_swissmodel_PLP_1.dlg	PLP	-10.22	23	-10.09	19	-11.13	23	-11.51	19	-11.51	19	-11.2	-11.51	19	2	61
Q6P6M7_23_467_3bcb.1.A_swissmodel_PLP_4.dlg	PLP	-9.95	79	-9.95	79	-10.73	79	-10.73	79	-11.19	85	-10.87	-11.19	85	1	71
Q80WP8-2_59_493_6enz.1.A_swissmodel_PLP_1.dlg	PLP	-6.66	75	-6.6	31	-7.65	75	-7.4	31	-7.79	64	-7.1	-8.3	83	2	32
P50431_9_478_1rvu.1.A_swissmodel_PLP_3.dlg	PLP	-6.26	70	-6.26	70	-7.55	70	-7.55	70	-7.58	85	-7.15	-7.58	85	1	40
Q71RI9-1_42_451_3e2f_pdb_PLP_1.dlg	PLP	-9.45	39	-9.45	39	-10.82	39	-10.82	39	-10.92	75	-10.62	-10.92	75	1	97
Q6P6M7_23_467_3bcb_pdb_PLP_1.dlg	PLP	-10.39	28	-10.39	28	-11.87	28	-11.87	28	-11.87	28	-11.32	-11.87	28	1	77
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_PLP_2.dlg	PLP	-10.11	73	-10.11	73	-10.82	73	-10.82	73	-11.4	85	-10.72	-11.4	85	1	77
P61922-2_39_444_4y0h.1.A_swissmodel_PLP_2.dlg	PLP	-8.53	37	-8.53	37	-9.32	37	-9.32	37	-9.45	49	-9.32	-9.45	49	1	42
Q8VCN5_9_398_5tsu.1.C_swissmodel_PLP_4.dlg	PLP	-9.83	46	-9.83	46	-10.64	46	-10.64	46	-10.64	46	-10.47	-10.64	46	1	76
Q6P6M7_23_466_3bca_pdb_PLP_1.dlg	PLP	-10.61	72	-9.79	45	-11.47	72	-11.16	45	-11.16	45	-10.72	-11.47	72	4	38
P00860_2_418_7odc_pdb_PLP_1.dlg	PLP	-8.22	42	-7.95	89	-8.97	42	-9.29	89	-9.29	89	-8.89	-9.29	89	2	32
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_PLP_2.dlg	PLP	-5.16	27	-4.52	61	-6.24	27	-5.19	61	-5.73	3	-5.16	-6.24	27	5	31
Q9CXF0_6_460_3e9k.1.A_swissmodel_PLP_1.dlg	PLP	-8.07	52	-7.34	32	-8.87	52	-8.21	32	-8.36	79	-8.0	-8.87	52	2	67
Q71RI9-1_42_451_5ver_pdb_PLP_1.dlg	PLP	-10.03	16	-9.9	18	-10.86	16	-11.3	18	-11.31	45	-11.09	-11.31	45	2	35
Q71RI9-1_42_451_2zjg_pdb_PLP_2.dlg	PLP	-8.08	36	-8.08	36	-8.64	36	-8.64	36	-9.35	30	-9.1	-9.35	30	1	63
P50431_1_478_1eji_pdb_PLP_3.dlg	PLP	-8.68	14	-8.68	14	-9.96	14	-9.96	14	-9.96	14	-9.8	-9.96	14	1	98
Q6P6M7_23_467_3bcb_pdb_PLP_3.dlg	PLP	-10.4	1	-10.4	1	-11.52	1	-11.52	1	-11.84	29	-11.33	-11.84	29	1	78
