dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q9HD40_1_501_4zdl_pdb_HTML_PLP_1.dlg	HTL	-13.75	98	-13.02	51	-5.31	98	-5.69	51	-6.1	61	-5.42	-6.88	35	2	27
P17735_41_444_3dyd.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.32	11	-9.44	2	-4.86	11	-5.21	2	-5.95	50	-5.44	-6.44	83	5	14
Q99259_93_593_2okj.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.48	12	-10.48	12	-4.99	12	-4.99	12	-5.63	81	-4.54	-6.11	65	1	43
Q9BYV1_52_496_5g4i.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.11	32	-10.11	32	-4.39	32	-4.39	32	-4.98	88	-4.25	-5.54	12	1	19
O15382_28_392_5bwv_pdb_HTML_PLP_1.dlg	HTL	-14.8	4	-14.8	4	-6.47	4	-6.47	4	-6.97	34	-5.82	-7.5	92	1	71
P20711_1_480_3rbf.1.B_swissmodel_HTML_PLP_2.dlg	HTL	-10.21	44	-9.76	73	-2.78	44	-6.26	73	-6.61	15	-5.86	-6.68	68	2	12
P54687_21_386_2abj.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-11.63	68	-11.63	68	-4.66	68	-4.66	68	-6.28	90	-4.95	-6.28	90	1	60
Q16773_3_421_4ge9.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.43	17	-10.43	17	-7.05	17	-7.05	17	-7.05	17	-3.57	-7.05	17	1	41
P04181_38_439_1gbn_pdb_HTML_PLP_2.dlg	HTL	-10.85	89	-10.81	16	-5.56	89	-4.1	16	-4.95	94	-4.17	-6.17	10	2	28
O15382_28_392_1ekv_pdb_HTML_PLP_2.dlg	HTL	-14.46	8	-14.46	8	-5.96	8	-5.96	8	-6.06	50	-4.8	-7.68	25	1	79
Q9HD40_19_462_4zdl.1.A_swissmodel_HTML_PLP_4.dlg	HTL	-13.93	97	-13.79	48	-5.16	97	-5.23	48	-6.69	17	-5.29	-6.69	17	3	41
P22557_151_541_2bwp.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.88	98	-9.88	98	-5.52	98	-5.52	98	-6.2	92	-5.02	-7.31	45	1	36
P17174_14_412_3ii0_pdb_HTML_PLP_2.dlg	HTL	-14.53	13	-13.89	42	-5.08	13	-6.06	42	-6.27	34	-4.98	-6.81	14	2	37
Q6ZQY3_35_521_2jis.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-11.89	65	-11.68	44	-6.78	65	-4.81	44	-5.69	53	-4.56	-7.69	62	2	27
Q99259_93_593_2okj.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.7	78	-7.98	59	-6.01	78	-4.57	59	-5.65	96	-4.21	-6.47	15	3	34
Q9Y617_17_370_3e77.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-12.08	65	-11.66	11	-6.52	65	-6.65	11	-6.65	11	-5.28	-7.19	75	3	20
P04181_36_439_2byj.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-11.93	30	-10.42	83	-6.33	30	-4.19	83	-5.01	54	-4.29	-6.38	96	2	36
P06737_1_847_1l7x_pdb_HTML_PLP_2.dlg	HTL	-12.6	95	-12.6	95	-6.59	95	-6.59	95	-7.69	12	-6.0	-7.89	16	1	57
Q8TBG4_7_438_4ysn.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-2.16	4	-2.16	4	-0.09	4	-0.09	4	-0.21	15	3.3	-2.91	55	1	16
P21549_1_392_4cbs_pdb_HTML_PLP_1.dlg	HTL	-12.15	68	-12.15	68	-6.76	68	-6.76	68	-6.9	54	-4.96	-6.9	54	1	69
Q96I15_29_444_3gzc.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.25	90	-8.47	30	-3.37	90	-2.49	30	-3.52	54	-2.55	-5.47	85	5	24
P17174_14_412_3ii0_pdb_HTML_PLP_1.dlg	HTL	-13.08	8	-13.08	8	-5.35	8	-5.35	8	-6.89	4	-4.97	-6.89	4	1	47
Q8N5Z0_1_425_4ge9_pdb_HTML_PLP_2.dlg	HTL	-14.38	45	-14.38	45	-5.77	45	-5.77	45	-5.98	33	-5.12	-7.25	64	1	46
O15382_28_392_5hne_pdb_HTML_PLP_2.dlg	HTL	-14.41	77	-11.03	73	-5.78	77	-3.61	73	-5.21	70	-3.92	-7.28	65	5	28
Q9BYV1_65_508_5g4i.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.36	85	-8.45	50	-4.6	85	-1.85	50	-3.31	24	-2.06	-6.51	3	4	18
