dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
P06737_1_847_1l7x_pdb_TYR_PLP_3.dlg	TYR	-12.72	18	-11.44	75	-6.69	18	-7.06	75	-7.2	50	-6.78	-7.2	50	5	18
P11216_22_840_5iko.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-12.91	77	-12.08	97	-6.67	77	-6.82	97	-7.24	37	-6.64	-7.24	37	2	28
Q8TBG4_7_438_4ysn.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-7.46	10	-7.46	10	-4.79	10	-4.79	10	-5.24	48	-2.91	-5.93	97	1	38
O15382_28_392_5bwx_pdb_TYR_PLP_1.dlg	TYR	-14.2	4	-14.2	4	-7.02	4	-7.02	4	-7.28	19	-6.15	-8.3	76	1	53
O15382_28_392_5cr5_pdb_TYR_PLP_1.dlg	TYR	-14.26	21	-14.26	21	-6.27	21	-6.27	21	-6.31	16	-5.71	-8.42	80	1	53
Q9GZT4_1_340_3l6b_pdb_TYR_PLP_1.dlg	TYR	-11.97	33	-11.97	33	-6.54	33	-6.54	33	-7.09	91	-6.09	-7.09	91	1	36
Q9Y697_67_457_5kz5_pdb_TYR_PLP_7.dlg
P21549_1_392_1h0c_pdb_TYR_PLP_1.dlg	TYR	-11.07	86	-11.07	86	-6.07	86	-6.07	86	-7.48	24	-6.24	-7.48	24	1	24
P20711_1_383_1js6.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-10.3	43	-9.75	11	-7.17	43	-7.51	11	-7.51	11	-6.77	-7.51	11	3	21
Q9HD40_1_501_4zdp_pdb_TYR_PLP_3.dlg	TYR	-12.57	21	-12.57	21	-6.06	21	-6.06	21	-6.07	16	-5.68	-7.34	65	1	28
