dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
Q9HD40_1_501_4zdl_pdb_HTML_PLP_1.dlg	HTL	-13.75	98	-13.02	51	-5.31	98	-5.69	51	-11.89	-11.23	-5.28	-5.42	2	27
P17735_41_444_3dyd.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.32	11	-9.44	2	-4.86	11	-5.21	2	-9.49	-8.65	-4.52	-5.44	5	14
Q99259_93_593_2okj.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.48	12	-10.48	12	-4.99	12	-4.99	12	-8.49	-8.49	-4.54	-4.54	1	43
Q9BYV1_52_496_5g4i.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.11	32	-10.11	32	-4.39	32	-4.39	32	-8.95	-8.95	-4.25	-4.25	1	19
O15382_28_392_5bwv_pdb_HTML_PLP_1.dlg	HTL	-14.8	4	-14.8	4	-6.47	4	-6.47	4	-13.4	-13.4	-5.82	-5.82	1	71
P20711_1_480_3rbf.1.B_swissmodel_HTML_PLP_2.dlg	HTL	-10.21	44	-9.76	73	-2.78	44	-6.26	73	-9.08	-8.48	-2.57	-5.86	2	12
P54687_21_386_2abj.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-11.63	68	-11.63	68	-4.66	68	-4.66	68	-10.29	-10.29	-4.95	-4.95	1	60
Q16773_3_421_4ge9.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-10.43	17	-10.43	17	-7.05	17	-7.05	17	-4.31	-4.31	-3.57	-3.57	1	41
P04181_38_439_1gbn_pdb_HTML_PLP_2.dlg	HTL	-10.85	89	-10.81	16	-5.56	89	-4.1	16	-10.09	-9.65	-5.64	-4.17	2	28
O15382_28_392_1ekv_pdb_HTML_PLP_2.dlg	HTL	-14.46	8	-14.46	8	-5.96	8	-5.96	8	-12.7	-12.7	-4.8	-4.8	1	79
Q9HD40_19_462_4zdl.1.A_swissmodel_HTML_PLP_4.dlg	HTL	-13.93	97	-13.79	48	-5.16	97	-5.23	48	-13.05	-12.48	-5.24	-5.29	3	41
P22557_151_541_2bwp.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.88	98	-9.88	98	-5.52	98	-5.52	98	-7.56	-7.56	-5.02	-5.02	1	36
P17174_14_412_3ii0_pdb_HTML_PLP_2.dlg	HTL	-14.53	13	-13.89	42	-5.08	13	-6.06	42	-11.55	-10.97	-4.6	-4.98	2	37
Q6ZQY3_35_521_2jis.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-11.89	65	-11.68	44	-6.78	65	-4.81	44	-10.73	-10.7	-6.32	-4.56	2	27
Q99259_93_593_2okj.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-10.7	78	-7.98	59	-6.01	78	-4.57	59	-7.63	-6.12	-4.32	-4.21	3	34
Q9Y617_17_370_3e77.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-12.08	65	-11.66	11	-6.52	65	-6.65	11	-10.85	-10.27	-6.47	-5.28	3	20
P04181_36_439_2byj.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-11.93	30	-10.42	83	-6.33	30	-4.19	83	-10.2	-9.1	-5.58	-4.29	2	36
P06737_1_847_1l7x_pdb_HTML_PLP_2.dlg	HTL	-12.6	95	-12.6	95	-6.59	95	-6.59	95	-10.75	-10.75	-6.0	-6.0	1	57
Q8TBG4_7_438_4ysn.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-2.16	4	-2.16	4	-0.09	4	-0.09	4	3.5	3.5	3.3	3.3	1	16
P21549_1_392_4cbs_pdb_HTML_PLP_1.dlg	HTL	-12.15	68	-12.15	68	-6.76	68	-6.76	68	-8.49	-8.49	-4.96	-4.96	1	69
Q96I15_29_444_3gzc.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.25	90	-8.47	30	-3.37	90	-2.49	30	-8.31	-7.63	-4.13	-2.55	5	24
P17174_14_412_3ii0_pdb_HTML_PLP_1.dlg	HTL	-13.08	8	-13.08	8	-5.35	8	-5.35	8	-10.83	-10.83	-4.97	-4.97	1	47
Q8N5Z0_1_425_4ge9_pdb_HTML_PLP_2.dlg	HTL	-14.38	45	-14.38	45	-5.77	45	-5.77	45	-12.44	-12.44	-5.12	-5.12	1	46
O15382_28_392_5hne_pdb_HTML_PLP_2.dlg	HTL	-14.41	77	-11.03	73	-5.78	77	-3.61	73	-12.73	-10.26	-5.19	-3.92	5	28
Q9BYV1_65_508_5g4i.1.A_swissmodel_HTML_PLP_2.dlg	HTL	-9.36	85	-8.45	50	-4.6	85	-1.85	50	-7.98	-7.97	-4.1	-2.06	4	18
P32929_1_402_3cog_pdb_HTML_PLP_3.dlg	HTL	-7.01	38	-3.75	97	-4.51	38	-4.99	97	1.37	0.28	-1.08	-4.04	3	25
O15382_28_392_5bwu_pdb_HTML_PLP_2.dlg	HTL	-14.65	19	-14.65	19	-5.58	19	-5.58	19	-13.57	-13.57	-5.59	-5.59	1	74
O15382_28_392_5bwx_pdb_HTML_PLP_1.dlg	HTL	-14.64	52	-14.64	52	-5.93	52	-5.93	52	-13.23	-13.23	-5.3	-5.3	1	76
O95470_111_553_4q6r.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-13.47	33	-11.03	95	-7.59	33	-5.36	95	-10.95	-10.48	-6.04	-5.51	3	25
P32929_10_399_3cog.1.A_swissmodel_HTML_PLP_1.dlg	HTL	-7.85	60	-7.85	60	-2.91	60	-2.91	60	-1.21	-1.21	0.36	0.36	1	25
P04181_1_439_1oat_pdb_HTML_PLP_1.dlg	HTL	-9.67	35	-9.24	39	-4.88	35	-5.29	39	-8.4	-7.85	-4.59	-4.73	6	23
O15382_28_392_5bwt_pdb_HTML_PLP_2.dlg	HTL	-14.3	44	-14.3	44	-6.07	44	-6.07	44	-12.9	-12.9	-5.49	-5.49	1	24
Q96I15_8_445_3gzd_pdb_HTML_PLP_1.dlg	HTL	-9.84	88	-9.84	88	-5.35	88	-5.35	88	-5.83	-5.83	-3.84	-3.84	1	60
