dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
P05202_32_430_1ama.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-14.02	81	-12.52	72	-8.3	81	-6.81	72	-10.73	-10.21	-6.02	-5.89	4	27
Q71RI9-1_42_451_5veq_pdb_CYT_PLP_1.dlg	CYT	-19.04	7	-19.04	7	-8.28	7	-8.28	7	-16.61	-16.61	-7.68	-7.68	1	37
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_1.dlg	CYT	-16.13	81	-14.73	92	-4.95	81	-6.07	92	-16.13	-12.83	-4.95	-6.0	8	12
Q71RI9-1_42_451_5ver_pdb_CYT_PLP_2.dlg	CYT	-16.7	87	-16.7	87	-8.27	87	-8.27	87	-14.91	-14.91	-7.5	-7.5	1	40
P05201_1_413_5tor.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-14.95	80	-14.95	80	-6.28	80	-6.28	80	-13.45	-13.45	-5.65	-5.65	1	15
Q9QZX7-3_3_180_3hmk.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.02	2	-11.13	85	-3.86	2	-3.95	85	-11.66	-9.85	-4.34	-3.67	2	6
P50431_9_478_1rvu.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-11.41	8	-11.41	8	-5.39	8	-5.39	8	-8.95	-8.95	-5.65	-5.65	1	22
Q6P6M7_23_467_3bcb.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-15.96	66	-14.07	72	-6.08	66	-7.42	72	-13.3	-12.83	-5.03	-7.56	7	12
Q9CZN7-2_40_500_5x3v.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-11.11	81	-10.51	99	-5.92	81	-4.34	99	-10.22	-8.54	-4.93	-3.95	2	10
P05202_30_430_3pdb_pdb_CYT_PLP_2.dlg	CYT	-16.07	59	-14.15	26	-6.31	59	-5.85	26	-16.07	-13.08	-6.31	-4.74	6	16
Q9ET01_24_839_1xoi.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-13.46	7	-13.46	7	-7.05	7	-7.05	7	-10.84	-10.84	-6.26	-6.26	1	19
Q8CI94_11_836_2pyd.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.7	44	-12.7	44	-6.05	44	-6.05	44	-9.5	-9.5	-6.06	-6.06	1	22
Q6P6M7_23_467_3bcb_pdb_CYT_PLP_3.dlg	CYT	-17.61	81	-15.14	19	-8.03	81	-6.75	19	-14.26	-13.05	-6.76	-6.15	7	12
Q8R1K4-2_26_438_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.35	89	-12.32	23	-3.59	89	-6.68	23	-10.79	-11.62	-3.18	-6.12	2	9
Q80WP8-2_68_523_2okj.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-12.57	32	-12.57	32	-9.37	32	-9.37	32	-8.59	-8.59	-7.31	-7.31	1	34
Q71RI9-1_42_451_5vep_pdb_CYT_PLP_2.dlg	CYT	-14.38	58	-14.38	58	-7.35	58	-7.35	58	-12.75	-12.75	-6.67	-6.67	1	25
Q8CI94_11_836_2pyd.1.A_swissmodel_CYT_PLP_2.dlg	CYT	-12.6	10	-12.6	10	-5.57	10	-5.57	10	-10.01	-10.01	-6.17	-6.17	1	18
Q8VCN5_9_398_5tsu.1.C_swissmodel_CYT_PLP_2.dlg	CYT	-15.12	25	-15.12	25	-7.33	25	-7.33	25	-9.88	-9.88	-6.56	-6.56	1	51
Q91WT9-1_40_557_4pcu.1.B_swissmodel_CYT_PLP_2.dlg	CYT	-11.12	14	-9.68	9	-5.14	14	-5.26	9	-11.12	-7.82	-5.14	-5.13	2	15
Q8R1K4-1_10_436_5g4i.1.A_swissmodel_CYT_PLP_1.dlg	CYT	-15.86	5	-13.77	35	-6.25	5	-4.46	35	-15.86	-12.76	-6.25	-3.78	8	12
