dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q71RI9-2_7_416_5veq.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-15.32	82	-15.32	82	-7.72	82	-7.72	82	-7.75	24	-6.47	-8.79	44	1	49
P48320_88_584_2okk.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-10.09	41	-8.95	67	-7.44	41	-5.46	67	-6.58	66	-5.36	-7.62	1	8	14
Q9DBE0_7_493_2jis.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-10.2	75	-9.78	70	-6.55	75	-6.23	70	-6.56	38	-6.25	-6.61	9	3	21
P48318_92_593_2okj.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-11.56	28	-9.25	75	-5.73	28	-5.8	75	-6.28	100	-5.6	-6.37	48	9	21
O35484_11_417_1d7k.1.B_swissmodel_TYR_PLP_1.dlg	TYR	-6.26	76	-5.95	87	-4.9	76	-4.42	87	-4.79	3	-4.16	-5.58	10	3	20
P24288_21_385_2abj.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-10.42	45	-8.25	74	-5.27	45	-4.17	74	-4.39	78	-4.12	-6.65	98	16	14
Q8BG54_108_530_6hrh.1.B_swissmodel_TYR_PLP_2.dlg	TYR	-10.4	71	-10.4	71	-4.24	71	-4.24	71	-5.91	26	-4.13	-6.37	86	1	58
Q3UX83-2_102_522_6d0a.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-11.19	62	-10.62	78	-5.37	62	-5.18	78	-5.37	45	-3.93	-7.34	35	2	17
O88986_28_415_1fc4.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-11.49	85	-11.49	85	-5.93	85	-5.93	85	-6.16	6	-5.38	-6.16	6	1	61
Q8BWU8_9_436_5g4i.1.A_swissmodel_TYR_PLP_2.dlg	TYR	-13.85	13	-13.2	33	-8.12	13	-7.26	33	-7.39	70	-6.63	-8.75	31	3	43
O88533_1_467_1js6.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-10.47	49	-10.47	49	-6.77	49	-6.77	49	-6.98	14	-6.27	-7.63	13	1	32
P29758_38_439_2can.1.A_swissmodel_TYR_PLP_1.dlg	TYR	-9.46	11	-9.33	86	-6.27	11	-4.86	86	-5.14	18	-4.41	-6.72	56	2	18
