dlg file	Ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	BCM (kcal/mol)	LCM (kcal/mol)	BCaaM (kcal/mol)	LCaaM (kcal/mol)	LC	Num in LC
P54687_21_386_2abj.1.A_swissmodel_THR_PLP_2.dlg	THR	-11.21	82	-10.22	74	-4.3	82	-4.12	74	-10.07	-9.24	-3.78	-3.67	4	22
P34896_8_483_1eji.1.D_swissmodel_THR_PLP_3.dlg	THR	-9.45	10	-9.45	10	-4.64	10	-4.64	10	-8.38	-8.38	-4.29	-4.29	1	43
O15382_28_392_2a1h_pdb_THR_PLP_1.dlg	THR	-14.44	7	-14.44	7	-4.12	7	-4.12	7	-13.12	-13.12	-4.23	-4.23	1	62
Q16773_1_422_1w7m_pdb_THR_PLP_1.dlg	THR	-12.81	65	-12.81	65	-5.89	65	-5.89	65	-11.76	-11.76	-4.86	-4.86	1	83
P11926_1_461_5bwa_pdb_THR_PLP_1.dlg	THR	-12.06	55	-11.54	51	-2.84	55	-5.34	51	-10.73	-10.5	-2.86	-4.65	3	26
P11216_22_840_5iko.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.06	13	-11.98	80	-4.59	13	-4.91	80	-11.03	-10.98	-4.29	-4.68	2	48
Q8TD30_49_523_3ihj_pdb_THR_PLP_1.dlg	THR	-11.48	89	-11.48	89	-4.82	89	-4.82	89	-10.53	-10.53	-4.49	-4.49	1	43
P21549_1_392_1h0c_pdb_THR_PLP_1.dlg	THR	-11.05	4	-10.81	39	-5.08	4	-2.8	39	-9.68	-9.63	-4.56	-3.38	3	51
O15382_28_392_5i5y_pdb_THR_PLP_1.dlg	THR	-13.7	8	-13.7	8	-4.2	8	-4.2	8	-13.08	-13.08	-4.09	-4.09	1	44
P06737_1_847_1l7x_pdb_THR_PLP_3.dlg	THR	-12.34	19	-11.01	6	-4.42	19	-4.16	6	-11.16	-10.18	-4.45	-4.34	7	23
P21549_1_392_3r9a_pdb_THR_PLP_1.dlg	THR	-12.42	74	-11.93	54	-5.76	74	-5.96	54	-9.24	-8.78	-5.02	-4.92	2	54
P06737_1_847_1em6_pdb_THR_PLP_1.dlg	THR	-12.03	91	-12.03	91	-4.5	91	-4.5	91	-10.84	-10.84	-4.16	-4.16	1	28
Q16773_4_422_4wp0.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.72	50	-12.72	50	-5.26	50	-5.26	50	-11.92	-11.92	-4.94	-4.94	1	94
P32929_10_399_3cog.1.A_swissmodel_THR_PLP_1.dlg	THR	-11.92	65	-11.92	65	-3.73	65	-3.73	65	-9.21	-9.21	-3.89	-3.89	1	76
Q96EN8_35_495_5j8q.1.A_swissmodel_THR_PLP_2.dlg	THR	-10.85	100	-9.32	89	-4.86	100	-1.86	89	-9.64	-8.18	-4.24	-2.22	3	34
Q4AC99_134_553_1m7y.1.A_swissmodel_THR_PLP_2.dlg	THR	-9.07	20	-8.34	78	-4.78	20	-2.89	78	-8.31	-7.63	-4.4	-3.08	5	13
P21549_1_392_1j04_pdb_THR_PLP_2.dlg	THR	-12.89	57	-12.89	57	-5.24	57	-5.24	57	-11.49	-11.49	-5.07	-5.07	1	53
P0DN79_41_550_4l3v.1.A_swissmodel_THR_PLP_1.dlg	THR	-9.45	7	-9.45	7	-3.81	7	-3.81	7	-6.23	-6.23	-3.21	-3.21	1	48
Q9BYV1_65_508_5g4i.1.A_swissmodel_THR_PLP_2.dlg	THR	-8.85	58	-7.65	19	-3.11	58	-1.46	19	-7.74	-7.3	-3.01	-1.65	5	31
P20711_1_480_3rbl_pdb_THR_PLP_2.dlg	THR	-12.02	13	-9.51	47	-5.04	13	-2.76	47	-11.75	-9.01	-4.41	-2.09	4	37
Q96QU6_55_475_1m7y.1.A_swissmodel_THR_PLP_2.dlg	THR	-12.29	34	-9.31	5	-6.5	34	-2.94	5	-11.47	-8.39	-6.14	-1.91	6	18
O15382_28_392_5i5s_pdb_THR_PLP_1.dlg	THR	-14.2	48	-13.43	21	-5.26	48	-3.85	21	-13.16	-12.78	-4.98	-4.0	2	55
Q9BYV1_65_508_5g4i.1.A_swissmodel_THR_PLP_1.dlg	THR	-9.36	54	-9.36	54	-3.31	54	-3.31	54	-8.73	-8.73	-3.05	-3.05	1	28
Q9HD40_1_501_3hl2_pdb_THR_PLP_3.dlg	THR	-13.75	21	-13.28	17	-4.99	21	-5.91	17	-12.75	-12.32	-4.83	-5.62	2	39
O15382_28_392_5i5u_pdb_THR_PLP_1.dlg	THR	-14.03	79	-13.77	5	-5.26	79	-4.59	5	-13.3	-12.96	-4.88	-4.06	2	57
Q9Y697_67_457_5kz5_pdb_THR_PLP_10.dlg
O94903_12_248_1ct5.1.A_swissmodel_THR_PLP_1.dlg	THR	-9.71	34	-9.71	34	-2.71	34	-2.71	34	-8.98	-8.98	-2.48	-2.48	1	32
Q9Y697_67_457_5kz5_pdb_THR_PLP_12.dlg
P34896_11_480_1bj4_pdb_THR_PLP_1.dlg	THR	-10.31	30	-10.31	30	-4.71	30	-4.71	30	-9.3	-9.3	-3.92	-3.92	1	66
P11926_1_461_2oo0_pdb_THR_PLP_1.dlg	THR	-11.13	85	-9.9	67	-5.27	85	-5.69	67	-9.45	-8.87	-4.1	-5.33	2	40
P32929_1_402_2nmp_pdb_THR_PLP_4.dlg	THR	-12.84	55	-12.84	55	-5.06	55	-5.06	55	-10.87	-10.87	-4.88	-4.88	1	66
O15382_28_392_5i5w_pdb_THR_PLP_1.dlg	THR	-13.95	72	-13.95	72	-4.65	72	-4.65	72	-12.81	-12.81	-4.36	-4.36	1	50
P06737_2_847_1xoi_pdb_THR_PLP_2.dlg	THR	-13.21	59	-13.21	59	-5.28	59	-5.28	59	-12.01	-12.01	-4.86	-4.86	1	75
P32929_1_402_3cog_pdb_THR_PLP_3.dlg	THR	-12.69	25	-12.69	25	-4.62	25	-4.62	25	-9.38	-9.38	-3.65	-3.65	1	65
P06737_1_847_1l5q_pdb_THR_PLP_4.dlg	THR	-12.63	70	-11.89	73	-4.79	70	-5.91	73	-10.85	-10.62	-3.88	-4.44	3	28
Q8N5Z0_1_425_2r2n_pdb_THR_PLP_2.dlg	THR	-14.53	28	-14.53	28	-4.0	28	-4.0	28	-12.76	-12.76	-4.01	-4.01	1	70
P06737_2_847_3dd1_pdb_THR_PLP_1.dlg	THR	-12.5	34	-12.5	34	-4.66	34	-4.66	34	-11.26	-11.26	-3.98	-3.98	1	22
O15382_28_392_5i60_pdb_THR_PLP_1.dlg	THR	-14.11	39	-14.11	39	-4.48	39	-4.48	39	-12.9	-12.9	-4.24	-4.24	1	50
