dlg file	ligand	BC (kcal/mol)	Run	LC (kcal/mol)	Run	BCaa (kcal/mol)	Run	LCaa (kcal/mol)	Run	LCaaB (kcal/mol)	Run	LCaaM (kcal/mol)	BB (kcal/mol)	Run	LC	Num in LC
Q9BYV1_52_496_5g4i.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-9.8	26	-9.8	26	-3.92	26	-3.92	26	-4.71	75	-4.17	-4.82	11	1	21
P54687_21_386_2abj.1.A_swissmodel_HIS_PLP_1.dlg	HIS	-10.81	24	-10.72	35	-5.59	24	-4.42	35	-4.9	3	-4.26	-6.09	83	2	22
Q16773_1_422_4wlh_pdb_HIS_PLP_2.dlg	HIS	-12.47	51	-9.12	8	-4.29	51	-5.55	8	-5.65	25	-5.15	-5.65	25	3	41
P32929_10_399_3cog.1.A_swissmodel_HIS_PLP_4.dlg	HIS	-9.93	24	-9.93	24	-5.13	24	-5.13	24	-5.52	77	-3.01	-5.59	43	1	39
P21549_1_392_3r9a_pdb_HIS_PLP_2.dlg	HIS	-11.32	27	-11.32	27	-4.81	27	-4.81	27	-5.36	37	-4.3	-6.68	99	1	46
O15382_28_392_5i5y_pdb_HIS_PLP_1.dlg	HIS	-13.71	27	-13.71	27	-5.02	27	-5.02	27	-5.7	70	-4.53	-7.58	2	1	31
P54687_21_386_2abj_pdb_HIS_PLP_2.dlg	HIS	-12.02	24	-12.02	24	-4.93	24	-4.93	24	-5.03	100	-4.37	-7.01	17	1	37
P34897_22_504_4pvf_pdb_HIS_PLP_2.dlg	HIS	-10.65	1	-9.43	58	-5.15	1	-3.92	58	-5.03	62	-4.36	-5.74	91	5	21
O15382_28_392_5bww_pdb_HIS_PLP_2.dlg	HIS	-14.31	73	-13.9	34	-5.14	73	-7.76	34	-7.81	49	-7.16	-7.81	49	2	36
Q8N5Z0_1_425_4ge4_pdb_HIS_PLP_2.dlg	HIS	-14.81	51	-14.81	51	-5.31	51	-5.31	51	-5.97	91	-5.18	-7.62	9	1	42
O15382_28_392_1ekv_pdb_HIS_PLP_1.dlg	HIS	-13.51	78	-13.39	13	-4.64	78	-6.59	13	-6.74	3	-6.22	-6.8	59	2	30
P54687_21_386_2abj_pdb_HIS_PLP_1.dlg	HIS	-13.0	43	-13.0	43	-5.41	43	-5.41	43	-5.75	40	-4.45	-7.18	56	1	46
O15382_28_392_5i5y_pdb_HIS_PLP_2.dlg	HIS	-13.96	13	-13.96	13	-4.68	13	-4.68	13	-5.19	45	-4.66	-7.92	37	1	51
